Category,English Phrase,Traditional Chinese,Usage Note,Difficulty
Farewells,See you tomorrow!,明天見！,saying goodbye when you'll meet the next day,intermediate
Farewells,See you next time!,下次見！,saying goodbye until the next meeting,intermediate
Farewells,See you around!,有緣再見！,casual goodbye when you're not sure when you'll meet again,intermediate
Farewells,Take care!,保重！,wishing someone well when parting,intermediate
Farewells,Take care of yourself!,好好照顧自己！,showing care when saying goodbye,intermediate
Farewells,Have a good day!,祝你有美好的一天！,wishing someone well for the day,intermediate
Farewells,Have a great weekend!,週末愉快！,said on a Friday or before the weekend,intermediate
Farewells,Have a safe trip!,一路平安！,wishing someone safe travels,intermediate
Farewells,Enjoy your holiday!,假期愉快！,wishing someone a good holiday,intermediate
Farewells,Good luck!,祝你好運！,wishing success before a challenge,intermediate
Farewells,All the best!,一切順利！,a warm general farewell,intermediate
Farewells,Keep in touch!,保持聯絡！,asking someone to stay in contact,intermediate
Farewells,I'll talk to you later.,我們待會再聊。,saying you'll continue a conversation later,intermediate
Farewells,I have to go now.,我現在要走了。,explaining you need to leave,intermediate
Farewells,I'll be off then.,那我先走了。,polite way of saying you're leaving,intermediate
Farewells,It was nice talking to you.,很高興和你聊天。,polite farewell after a conversation,intermediate
Farewells,It was lovely to see you.,很高興見到你。,warm farewell after meeting someone,intermediate
Farewells,Thanks for having me.,謝謝你的招待。,thanking a host when leaving,intermediate
Farewells,Good night!,晚安！,farewell said in the evening or before sleep,intermediate
Farewells,Sleep well!,好好休息！,wishing someone a good sleep,intermediate
Farewells,Drive safe!,開車小心！,wishing someone safe driving,intermediate
Farewells,Say hi to your family!,代我向你的家人問好！,asking someone to pass greetings to their family,intermediate
Introductions,My name is...,我的名字是⋯,introducing your name formally,easy
Introductions,I'm...,我是⋯,casual way to introduce your name,intermediate
Introductions,You can call me...,你可以叫我⋯,telling someone your preferred name or nickname,intermediate
Introductions,What's your name?,你叫什麼名字？,asking someone's name casually,intermediate
Introductions,May I ask your name?,請問你叫什麼名字？,asking someone's name politely,intermediate
Introductions,"This is my friend,...",這是我的朋友，⋯,introducing a friend to someone,intermediate
Introductions,I'd like to introduce...,我想介紹⋯,formal way to introduce someone,intermediate
Introductions,Have you two met?,你們兩個見過面嗎？,asking if two people know each other,intermediate
Introductions,I don't think we've met.,我想我們還沒見過面。,saying you don't know someone yet,intermediate
Introductions,Where are you from?,你來自哪裡？,asking about someone's hometown or country,intermediate
Introductions,I'm from...,我來自⋯,saying where you are from,intermediate
Introductions,I was born in...,我出生在⋯,saying where you were born,intermediate
Introductions,I live in...,我住在⋯,saying where you currently live,intermediate
Introductions,I'm originally from... but I live in...,我原本來自⋯但我住在⋯,explaining your origin and current location,intermediate
Introductions,What do you do?,你從事什麼工作？,asking about someone's job or occupation,intermediate
Introductions,I work as a...,我是一名⋯,saying what your job is,intermediate
Introductions,I'm a student.,我是一名學生。,saying you are a student,intermediate
Introductions,I'm currently looking for work.,我目前在找工作。,saying you are job hunting,intermediate
Introductions,I'm retired.,我退休了。,saying you are retired,intermediate
Introductions,How old are you?,你幾歲？,"asking someone's age, used carefully in some cultures",intermediate
Introductions,I'm... years old.,我⋯歲。,saying your age,intermediate
Introductions,Are you married?,你結婚了嗎？,asking about marital status,intermediate
Introductions,I'm single.,我單身。,saying you are not in a relationship,intermediate
Introductions,I'm married.,我結婚了。,saying you are married,intermediate
Introductions,Do you have any children?,你有孩子嗎？,asking if someone has children,intermediate
Introductions,I have... kids.,我有⋯個孩子。,saying how many children you have,intermediate
Introductions,What are your hobbies?,你有什麼興趣愛好？,asking about someone's hobbies,intermediate
Introductions,I enjoy...,我喜歡⋯,talking about your interests,intermediate
Introductions,In my free time I like to...,我空閒時喜歡⋯,describing what you do in your free time,intermediate
Introductions,It's a pleasure to meet you.,很榮幸認識你。,formal way of saying nice to meet you,intermediate
Introductions,Likewise.,我也是。,short response meaning the same to you,intermediate
Small Talk,What's new?,有什麼新鮮事嗎？,casual way to ask what's happening in someone's life,intermediate
Small Talk,Anything interesting happening?,有什麼有趣的事嗎？,casual conversation opener,intermediate
Small Talk,How was your weekend?,你的週末過得怎麼樣？,common Monday conversation starter,intermediate
Small Talk,Did you do anything fun?,你有做什麼有趣的事嗎？,asking if someone did something enjoyable,intermediate
Small Talk,How's the family?,家人都好嗎？,asking about someone's family,intermediate
Small Talk,How's work going?,工作怎麼樣？,asking about someone's work situation,intermediate
Small Talk,Have you seen any good movies lately?,你最近有看什麼好電影嗎？,casual conversation starter about movies,intermediate
Small Talk,Are you following the news?,你有在關注新聞嗎？,asking if someone keeps up with current events,intermediate
Small Talk,What do you think about...?,你覺得⋯怎麼樣？,asking for someone's opinion,intermediate
Small Talk,"It's a beautiful day, isn't it?",今天天氣很好，不是嗎？,weather-based small talk,intermediate
Small Talk,The weather's been crazy lately.,最近天氣真的很奇怪。,commenting on unusual weather,intermediate
Small Talk,Can you believe this weather?,你敢相信這天氣嗎？,expressing surprise about the weather,intermediate
Small Talk,It's so hot today!,今天好熱！,commenting on hot weather,intermediate
Small Talk,It's freezing today!,今天好冷！,commenting on cold weather,intermediate
Small Talk,I love this time of year.,我喜歡這個時節。,expressing appreciation for the season,intermediate
Small Talk,Are you from around here?,你是本地人嗎？,asking if someone is local,intermediate
Small Talk,Have you lived here long?,你住在這裡很久了嗎？,asking about someone's time in a place,intermediate
Small Talk,Do you know any good restaurants around here?,你知道這附近有什麼好的餐廳嗎？,asking for local recommendations,intermediate
Small Talk,I've been really busy lately.,我最近真的很忙。,explaining your situation in conversation,intermediate
Small Talk,"Time flies, doesn't it?",時間過得真快，不是嗎？,commenting on how fast time passes,intermediate
Small Talk,I can't believe it's already...,我不敢相信已經⋯了。,expressing surprise at time passing,intermediate
Small Talk,Any plans for the holidays?,假期有什麼計劃嗎？,asking about holiday plans,intermediate
Small Talk,Looking forward to anything?,有在期待什麼嗎？,asking if someone is anticipating something,intermediate
Small Talk,That sounds fun!,聽起來很有趣！,responding positively to someone's plans,intermediate
Small Talk,That's interesting.,那很有趣。,showing interest in what someone said,intermediate
Small Talk,Really? Tell me more.,真的嗎？多說一些。,encouraging someone to continue talking,intermediate
Small Talk,I know what you mean.,我懂你的意思。,showing understanding,intermediate
Small Talk,Same here.,我也是。,saying you share the same experience or feeling,intermediate
Small Talk,You're telling me!,你說的沒錯！,strongly agreeing with what someone said,intermediate
Small Talk,Tell me about it!,別說了！我懂！,"strongly agreeing, often with some frustration",intermediate
Asking for Help,Can you help me?,你能幫我嗎？,direct way to ask for help,easy
Asking for Help,"Could you help me, please?",你可以幫我嗎？,polite way to ask for help,intermediate
Asking for Help,I need some help.,我需要一些幫助。,stating you need assistance,intermediate
Asking for Help,I need your help.,我需要你的幫助。,asking specifically for someone's help,intermediate
Asking for Help,Would you mind helping me?,你介意幫我嗎？,very polite request for help,intermediate
Asking for Help,Do you have a moment?,你有空嗎？,asking if someone is free to help,intermediate
Asking for Help,Can I ask you something?,我可以問你一件事嗎？,asking permission to ask a question,intermediate
Asking for Help,Sorry to bother you.,不好意思打擾你。,polite opener before asking for something,intermediate
Asking for Help,"Excuse me, I'm a bit lost.",不好意思，我有點迷路了。,asking for help with directions,intermediate
Asking for Help,I'm looking for...,我在找⋯,asking for help locating something,intermediate
Asking for Help,Do you know where... is?,你知道⋯在哪裡嗎？,asking for the location of something,intermediate
Asking for Help,Could you point me in the right direction?,你能指引我方向嗎？,asking for directional guidance,intermediate
Asking for Help,I can't figure this out.,我搞不清楚這個。,expressing difficulty with something,intermediate
Asking for Help,I'm not sure how to...,我不確定如何⋯,expressing uncertainty about a process,intermediate
Asking for Help,Could you show me how to...?,你可以示範給我看如何⋯嗎？,asking for a demonstration,intermediate
Asking for Help,Could you explain that again?,你可以再解釋一次嗎？,asking for clarification,intermediate
Asking for Help,Is there anyone who can help me?,有人可以幫我嗎？,asking if assistance is available,intermediate
Asking for Help,Where can I get help with...?,我可以在哪裡得到關於⋯的幫助？,asking where to find help,intermediate
Asking for Help,I'd appreciate your help.,我很感激你的幫助。,expressing gratitude in advance,intermediate
Asking for Help,That would be a great help.,那會幫上很大的忙。,responding when someone offers to help,intermediate
Asking for Help,You're a lifesaver!,你真是救星！,expressing great relief at someone's help,intermediate
Asking for Help,I owe you one.,我欠你一個人情。,saying you're grateful and will return the favour,intermediate
Asking for Help,Thank you so much for your help.,非常感謝你的幫助。,thanking someone after they helped,intermediate
Asking for Help,I really appreciate it.,我真的很感激。,expressing deep gratitude,intermediate
Asking for Help,I couldn't have done it without you.,沒有你我做不到。,expressing how important someone's help was,intermediate
Requests & Offers,Could you please...?,你可以⋯嗎？,polite way to make a request,intermediate
Requests & Offers,Would you mind...?,你介意⋯嗎？,very polite way to ask someone to do something,intermediate
Requests & Offers,Can you...?,你能⋯嗎？,direct way to make a request,intermediate
Requests & Offers,Please...,請⋯,simple polite request,intermediate
Requests & Offers,I was wondering if you could...,我想知道你是否能⋯,indirect and polite request,intermediate
Requests & Offers,Do you think you could...?,你覺得你能⋯嗎？,gentle way of making a request,intermediate
Requests & Offers,Is it possible to...?,有可能⋯嗎？,asking if something can be done,intermediate
Requests & Offers,Would it be okay if...?,如果⋯可以嗎？,asking permission politely,intermediate
Requests & Offers,Could I ask you to...?,我可以請你⋯嗎？,politely asking someone to do something,intermediate
Requests & Offers,If you don't mind...,如果你不介意的話⋯,softening a request,intermediate
Requests & Offers,Would you like some help?,你需要幫忙嗎？,offering assistance,intermediate
Requests & Offers,Can I help you with that?,我可以幫你那個嗎？,offering help with a specific task,intermediate
Requests & Offers,Let me help you.,讓我幫你。,offering help directly,intermediate
Requests & Offers,Shall I...?,要我⋯嗎？,offering to do something,intermediate
Requests & Offers,Do you need anything?,你需要什麼嗎？,general offer of assistance,intermediate
Requests & Offers,Would you like me to...?,你要我⋯嗎？,offering to do something specific,intermediate
Requests & Offers,I'd be happy to help.,我很樂意幫忙。,willingly accepting a request to help,intermediate
Requests & Offers,Leave it to me.,交給我吧。,confidently taking responsibility for something,intermediate
Requests & Offers,No problem at all.,完全沒問題。,accepting a request easily,intermediate
Requests & Offers,"Sure, I can do that.",當然，我可以做到。,agreeing to a request,intermediate
Requests & Offers,I'll get right on it.,我馬上去做。,saying you'll start something immediately,intermediate
Requests & Offers,Could you do me a favour?,你可以幫我一個忙嗎？,asking for a favour,intermediate
Requests & Offers,That's very kind of you.,你真的很好心。,thanking someone for their offer,intermediate
Requests & Offers,I really appreciate the offer.,我真的很感謝你的提議。,thanking someone for offering to help,intermediate
Requests & Offers,"I'm fine, but thank you.",我沒事，但謝謝你。,politely declining an offer,intermediate
Requests & Offers,"Thanks, but I can manage.",謝謝，但我可以自己來。,politely declining help,intermediate
Polite Expressions,Thank you.,謝謝你。,basic expression of gratitude,easy
Polite Expressions,Thank you very much.,非常感謝你。,stronger expression of gratitude,intermediate
Polite Expressions,Thanks a lot.,非常感謝。,informal strong thanks,intermediate
Polite Expressions,Many thanks.,多謝。,formal expression of thanks,intermediate
Polite Expressions,I'm grateful for your help.,我很感激你的幫助。,formal expression of gratitude,intermediate
Polite Expressions,You're too kind.,你真是太好了。,responding to someone's generosity,intermediate
Polite Expressions,You're welcome.,不客氣。,standard response to thank you,easy
Polite Expressions,No worries.,沒關係。,casual response to thank you,intermediate
Polite Expressions,Don't mention it.,別客氣。,modest response to thank you,intermediate
Polite Expressions,My pleasure.,這是我的榮幸。,saying you were happy to help,intermediate
Polite Expressions,Anytime.,隨時。,saying you're always willing to help,intermediate
Polite Expressions,It was nothing.,這沒什麼。,modest response saying the help was easy,intermediate
Polite Expressions,I'm sorry.,對不起。,standard apology,intermediate
Polite Expressions,I'm really sorry.,我真的很抱歉。,stronger apology,intermediate
Polite Expressions,I'm so sorry about that.,我真的很抱歉那件事。,apologising for a specific thing,intermediate
Polite Expressions,Please accept my apologies.,請接受我的道歉。,formal apology,intermediate
Polite Expressions,I apologise for the inconvenience.,對於造成的不便我深感抱歉。,formal apology for causing trouble,intermediate
Polite Expressions,I didn't mean to.,我不是故意的。,explaining something was unintentional,intermediate
Polite Expressions,It won't happen again.,這不會再發生了。,promising not to repeat a mistake,intermediate
Polite Expressions,Excuse me.,不好意思。,getting someone's attention or apologising for a small thing,easy
Polite Expressions,Pardon me.,抱歉打擾。,polite way to get attention or ask someone to repeat,intermediate
Polite Expressions,After you.,您先請。,politely letting someone go first,intermediate
Polite Expressions,Please go ahead.,請先走。,telling someone to proceed,intermediate
Polite Expressions,Could you please speak more slowly?,你可以說慢一點嗎？,asking someone to slow down their speech,intermediate
Polite Expressions,Would you mind repeating that?,你介意再說一次嗎？,politely asking someone to repeat something,intermediate
Polite Expressions,I beg your pardon?,請問你說什麼？,politely asking someone to repeat,intermediate
Polite Expressions,That's very thoughtful of you.,你真的很體貼。,thanking someone for their thoughtfulness,intermediate
Agreeing & Disagreeing,I agree.,我同意。,simply agreeing with someone,intermediate
Agreeing & Disagreeing,I totally agree.,我完全同意。,strongly agreeing,intermediate
Agreeing & Disagreeing,Absolutely.,絕對是。,strongly agreeing,intermediate
Agreeing & Disagreeing,Exactly!,正是！,agreeing precisely with what was said,intermediate
Agreeing & Disagreeing,That's right.,沒錯。,confirming agreement,intermediate
Agreeing & Disagreeing,You're right.,你說得對。,acknowledging someone is correct,intermediate
Agreeing & Disagreeing,I think so too.,我也這麼認為。,expressing shared opinion,intermediate
Agreeing & Disagreeing,I couldn't agree more.,我非常同意。,expressing maximum agreement,intermediate
Agreeing & Disagreeing,That's a good point.,這是個好觀點。,acknowledging someone made a valid point,intermediate
Agreeing & Disagreeing,I see what you mean.,我明白你的意思。,showing understanding of someone's point,intermediate
Agreeing & Disagreeing,Fair enough.,有道理。,accepting someone's point as reasonable,intermediate
Agreeing & Disagreeing,I'm with you on that.,在這點上我支持你。,agreeing with someone's position,intermediate
Agreeing & Disagreeing,I disagree.,我不同意。,directly disagreeing,intermediate
Agreeing & Disagreeing,I don't think so.,我不這麼認為。,politely disagreeing,intermediate
Agreeing & Disagreeing,I'm not sure I agree.,我不確定我是否同意。,gently disagreeing,intermediate
Agreeing & Disagreeing,I see it differently.,我的看法不同。,politely expressing a different view,intermediate
Agreeing & Disagreeing,That's not how I see it.,我的看法不是這樣。,expressing disagreement with a view,intermediate
Agreeing & Disagreeing,I'm afraid I disagree.,恐怕我不同意。,polite formal disagreement,intermediate
Agreeing & Disagreeing,"I understand your point, but...",我理解你的觀點，但是⋯,acknowledging before disagreeing,intermediate
Agreeing & Disagreeing,"That may be true, but...",那可能是真的，但是⋯,partially agreeing before disagreeing,intermediate
Agreeing & Disagreeing,With all due respect...,恕我冒昧⋯,introducing a polite disagreement,intermediate
Agreeing & Disagreeing,"I take your point, however...",我理解你的意思，但是⋯,acknowledging then disagreeing,intermediate
Agreeing & Disagreeing,That depends.,這要看情況。,saying the answer isn't straightforward,intermediate
Agreeing & Disagreeing,It's not that simple.,這沒那麼簡單。,saying the issue is more complex,intermediate
Agreeing & Disagreeing,I'm on the fence about this.,我對這件事持中立態度。,saying you haven't decided yet,intermediate
Agreeing & Disagreeing,I have mixed feelings about it.,我對此有複雜的感受。,expressing ambivalence,intermediate
Agreeing & Disagreeing,"You make a good argument, but...",你的論點很好，但是⋯,acknowledging a strong point before disagreeing,intermediate
Agreeing & Disagreeing,We'll have to agree to disagree.,我們只能各持己見了。,accepting that you won't reach agreement,intermediate
Agreeing & Disagreeing,I see both sides.,我能理解兩方的立場。,showing you understand multiple perspectives,intermediate
Agreeing & Disagreeing,That's one way to look at it.,那是一種看法。,acknowledging a view without fully agreeing,intermediate
Opinions & Suggestions,"In my opinion,...",依我看⋯,introducing a personal opinion,intermediate
Opinions & Suggestions,I think...,我認為⋯,sharing what you believe,intermediate
Opinions & Suggestions,I believe...,我相信⋯,expressing a belief,intermediate
Opinions & Suggestions,I feel that...,我覺得⋯,sharing a feeling-based opinion,intermediate
Opinions & Suggestions,"As far as I'm concerned,...",就我而言⋯,giving your personal view,intermediate
Opinions & Suggestions,"From my point of view,...",從我的角度來看⋯,sharing your perspective,intermediate
Opinions & Suggestions,It seems to me that...,在我看來⋯,sharing what appears to be true to you,intermediate
Opinions & Suggestions,"Personally, I think...",我個人認為⋯,emphasising a personal opinion,intermediate
Opinions & Suggestions,"To be honest,...",說實話⋯,introducing a candid opinion,intermediate
Opinions & Suggestions,"If you ask me,...",如果你問我⋯,sharing your opinion when asked,intermediate
Opinions & Suggestions,What do you think?,你認為呢？,asking for someone's opinion,intermediate
Opinions & Suggestions,What's your view on this?,你對這件事有什麼看法？,asking for someone's perspective,intermediate
Opinions & Suggestions,How do you feel about that?,你對那個感覺怎麼樣？,asking about someone's feelings on something,intermediate
Opinions & Suggestions,Do you have any thoughts on this?,你對這件事有什麼想法嗎？,asking for input,intermediate
Opinions & Suggestions,What would you suggest?,你有什麼建議？,asking for a suggestion,intermediate
Opinions & Suggestions,Why don't you...?,你何不⋯？,making a suggestion,intermediate
Opinions & Suggestions,How about...?,⋯怎麼樣？,suggesting an option,intermediate
Opinions & Suggestions,What about...?,⋯呢？,proposing an alternative,intermediate
Opinions & Suggestions,Have you considered...?,你有考慮過⋯嗎？,suggesting something to think about,intermediate
Opinions & Suggestions,You might want to try...,你可能可以試試⋯,making a gentle suggestion,intermediate
Opinions & Suggestions,I would suggest...,我建議⋯,making a formal suggestion,intermediate
Opinions & Suggestions,"If I were you, I would...",如果我是你，我會⋯,giving advice,intermediate
Opinions & Suggestions,My suggestion would be...,我的建議是⋯,formally stating a suggestion,intermediate
Opinions & Suggestions,It might be a good idea to...,⋯可能是個好主意。,suggesting something gently,intermediate
Opinions & Suggestions,Have you thought about...?,你有想過⋯嗎？,suggesting someone consider something,intermediate
Opinions & Suggestions,That's a great idea!,那是個很棒的主意！,enthusiastically agreeing with a suggestion,intermediate
Opinions & Suggestions,That might work.,那可能行得通。,cautiously agreeing with a suggestion,intermediate
Opinions & Suggestions,I'm not so sure about that.,我對那不太確定。,expressing doubt about a suggestion,intermediate
Opinions & Suggestions,That's worth thinking about.,那值得考慮。,saying a suggestion has merit,intermediate
Opinions & Suggestions,Let me think about it.,讓我想一想。,asking for time to consider,intermediate
Asking for Clarification,"Sorry, I didn't catch that.",抱歉，我沒聽清楚。,saying you didn't hear or understand,intermediate
Asking for Clarification,"Could you repeat that, please?",你可以再說一次嗎？,asking someone to say something again,intermediate
Asking for Clarification,Could you say that again?,你可以再說一遍嗎？,asking for repetition,intermediate
Asking for Clarification,"Sorry, what did you say?",抱歉，你說什麼？,asking someone to repeat informally,intermediate
Asking for Clarification,"I'm sorry, I don't understand.",抱歉，我不明白。,saying you don't understand,intermediate
Asking for Clarification,I'm not sure I follow.,我不確定我是否理解。,saying you're confused,intermediate
Asking for Clarification,Could you explain that?,你可以解釋一下嗎？,asking for an explanation,intermediate
Asking for Clarification,What do you mean by...?,你說的⋯是什麼意思？,asking for clarification on a specific point,intermediate
Asking for Clarification,Could you be more specific?,你可以更具體一點嗎？,asking for more detail,intermediate
Asking for Clarification,Can you give me an example?,你能給我舉個例子嗎？,asking for an example to understand better,intermediate
Asking for Clarification,What exactly do you mean?,你到底是什麼意思？,asking for precise clarification,intermediate
Asking for Clarification,I'm not sure what you mean.,我不確定你的意思是什麼。,expressing confusion about meaning,intermediate
Asking for Clarification,Could you put that another way?,你可以換個方式說嗎？,asking for a different explanation,intermediate
Asking for Clarification,In other words...?,換句話說⋯？,checking your understanding by rephrasing,intermediate
Asking for Clarification,Do you mean...?,你的意思是⋯嗎？,checking your interpretation,intermediate
Asking for Clarification,So what you're saying is...?,所以你的意思是⋯？,restating to confirm understanding,intermediate
Asking for Clarification,Let me make sure I understand.,讓我確認一下我的理解。,checking your comprehension,intermediate
Asking for Clarification,Just to clarify...,只是為了澄清⋯,making something clear,intermediate
Asking for Clarification,Am I right in thinking that...?,我理解⋯是正確的嗎？,checking your understanding,intermediate
Asking for Clarification,Is that what you mean?,那是你的意思嗎？,confirming interpretation,intermediate
Asking for Clarification,Could you speak more slowly?,你能說慢一點嗎？,asking someone to slow their speech,intermediate
Asking for Clarification,Could you write that down?,你能把那個寫下來嗎？,asking for written clarification,intermediate
Asking for Clarification,What does... mean?,⋯是什麼意思？,asking for the meaning of a word or phrase,intermediate
Asking for Clarification,How do you spell that?,那個怎麼拼？,asking for the spelling,intermediate
Asking for Clarification,How do you pronounce that?,那個怎麼發音？,asking for the pronunciation,intermediate
Expressing Feelings,I'm happy.,我很開心。,saying you feel happy,intermediate
Expressing Feelings,I'm really excited about this.,我對這件事真的很興奮。,expressing excitement,intermediate
Expressing Feelings,I'm looking forward to it.,我很期待。,expressing anticipation,intermediate
Expressing Feelings,I can't wait!,我等不及了！,expressing strong excitement,intermediate
Expressing Feelings,I'm so relieved.,我好鬆了一口氣。,expressing relief,intermediate
Expressing Feelings,I'm feeling a bit down.,我感覺有點低落。,saying you feel a little sad,intermediate
Expressing Feelings,I'm really upset about this.,我對這件事真的很難過。,expressing sadness or upset,intermediate
Expressing Feelings,I'm so frustrated!,我好挫折！,expressing frustration,intermediate
Expressing Feelings,I'm feeling overwhelmed.,我感到不知所措。,saying you have too much to deal with,intermediate
Expressing Feelings,I'm a bit stressed out.,我有點壓力很大。,saying you're under stress,intermediate
Expressing Feelings,I'm exhausted.,我筋疲力盡了。,saying you're very tired,intermediate
Expressing Feelings,I'm worried about...,我擔心⋯,expressing concern,intermediate
Expressing Feelings,I'm nervous about...,我對⋯感到緊張。,expressing nervousness,intermediate
Expressing Feelings,I'm scared of...,我害怕⋯,expressing fear,intermediate
Expressing Feelings,I'm angry about...,我對⋯感到生氣。,expressing anger,intermediate
Expressing Feelings,I'm disappointed.,我很失望。,expressing disappointment,intermediate
Expressing Feelings,I feel lonely.,我感到孤獨。,saying you feel alone,intermediate
Expressing Feelings,I feel much better now.,我現在感覺好多了。,saying your mood or health has improved,intermediate
Expressing Feelings,I'm in a great mood today.,我今天心情很好。,saying you're in a positive mood,intermediate
Expressing Feelings,I'm not in the mood for...,我沒有心情⋯,saying you don't feel like doing something,intermediate
Expressing Feelings,That made my day!,那讓我今天很開心！,saying something made you very happy,intermediate
Expressing Feelings,I'm really proud of you.,我真的為你感到驕傲。,expressing pride in someone,intermediate
Expressing Feelings,That means a lot to me.,那對我意義很重大。,saying something is very meaningful,intermediate
Expressing Feelings,I'm over the moon!,我開心極了！,expressing extreme happiness,intermediate
Expressing Feelings,I feel terrible about this.,我對這件事感到非常糟糕。,expressing guilt or deep regret,intermediate
Expressing Feelings,I'm heartbroken.,我心碎了。,expressing deep sadness,intermediate
Expressing Feelings,I can't stop thinking about it.,我停不下來想它。,saying something is constantly on your mind,intermediate
Expressing Feelings,I'm at a loss.,我不知所措。,saying you don't know what to do,intermediate
Expressing Feelings,I feel so much better after talking about it.,說出來之後我感覺好多了。,expressing relief after sharing feelings,intermediate
Expressing Feelings,That's such a relief!,真是太令人鬆了一口氣了！,expressing relief about good news,intermediate
Compliments & Encouragement,You did a great job!,你做得很好！,praising someone's work or effort,intermediate
Compliments & Encouragement,Well done!,做得好！,congratulating someone on a success,intermediate
Compliments & Encouragement,That's impressive!,那很令人印象深刻！,expressing admiration,intermediate
Compliments & Encouragement,You're very talented!,你非常有才華！,complimenting someone's ability,intermediate
Compliments & Encouragement,I love your style!,我喜歡你的風格！,complimenting someone's personal style,intermediate
Compliments & Encouragement,That looks amazing on you!,那穿在你身上看起來很棒！,complimenting how something looks on someone,intermediate
Compliments & Encouragement,You look great today!,你今天看起來很棒！,complimenting someone's appearance,intermediate
Compliments & Encouragement,Your English is excellent!,你的英文非常好！,complimenting language ability,intermediate
Compliments & Encouragement,That was a brilliant idea!,那是個很棒的主意！,praising someone's idea,intermediate
Compliments & Encouragement,You handled that really well.,你處理得非常好。,praising how someone dealt with a situation,intermediate
Compliments & Encouragement,I'm really impressed by you.,我真的對你印象深刻。,expressing admiration for someone,intermediate
Compliments & Encouragement,You should be proud of yourself.,你應該為自己感到驕傲。,encouraging someone to feel good about their achievement,intermediate
Compliments & Encouragement,You're so thoughtful.,你真的很體貼。,complimenting someone's consideration,intermediate
Compliments & Encouragement,That was very kind of you.,你這樣做真的很善良。,thanking someone for their kindness,intermediate
Compliments & Encouragement,You're doing really well.,你做得真的很好。,encouragement during a process,intermediate
Compliments & Encouragement,Keep it up!,繼續保持！,encouraging someone to maintain their effort,intermediate
Compliments & Encouragement,Don't give up!,不要放棄！,encouraging perseverance,intermediate
Compliments & Encouragement,You can do it!,你可以的！,encouraging someone to try,intermediate
Compliments & Encouragement,Believe in yourself!,相信自己！,encouraging confidence,intermediate
Compliments & Encouragement,I believe in you.,我相信你。,expressing confidence in someone,intermediate
Compliments & Encouragement,You're almost there!,你快到了！,encouragement near the end of a task,intermediate
Compliments & Encouragement,That's a great start!,這是個很好的開始！,praising an initial effort,intermediate
Compliments & Encouragement,You're making real progress.,你真的在進步了。,acknowledging improvement,intermediate
Compliments & Encouragement,Every little bit helps.,每一點都有幫助。,encouraging when progress is slow,intermediate
Compliments & Encouragement,The effort you're putting in is amazing.,你付出的努力真的很了不起。,praising someone's hard work,intermediate
Compliments & Encouragement,You've come so far!,你已經走了這麼長的路！,acknowledging how much someone has achieved,intermediate
Making Plans,Are you free this weekend?,你這個週末有空嗎？,asking if someone is available,intermediate
Making Plans,What are you up to this weekend?,你這個週末有什麼計劃？,asking about weekend plans,intermediate
