Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - Technology,algorithm,noun,演算法,a set of rules for solving a problem,The algorithm sorted the data.,intermediate
Nouns - Technology,artificial intelligence,noun,人工智慧,machine simulation of intelligence,AI is transforming industries.,intermediate
Nouns - Technology,account,noun,帳號,a record for accessing a service,Log into your account.,intermediate
Nouns - Technology,subscription,noun,訂閱,a paid plan for a service,She has a monthly subscription.,intermediate
Nouns - Technology,screenshot,noun,截圖,an image of your screen,Take a screenshot.,intermediate
Nouns - Technology,storage,noun,儲存空間,space for saving data,Free up storage on your phone.,intermediate
Nouns - Technology,developer,noun,開發者,a person who creates software,She is a software developer.,intermediate
Nouns - Technology,programming,noun,程式設計,writing computer code,He studies programming.,intermediate
Nouns - Technology,cybersecurity,noun,網路安全,protecting digital systems,Cybersecurity is a top priority.,intermediate
Nouns - Technology,streaming,noun,串流,playing media over the internet,She subscribes to a streaming service.,intermediate
Nouns - Technology,podcast,noun,播客,an audio programme available online,He listens to podcasts.,intermediate
Nouns - Technology,drone,noun,無人機,an unmanned flying device,The drone filmed the area.,intermediate
Nouns - Technology,blockchain,noun,區塊鏈,a digital record of transactions,Blockchain is secure.,intermediate
Nouns - Technology,cryptocurrency,noun,加密貨幣,a digital currency,Bitcoin is a cryptocurrency.,intermediate
Nouns - Health & Medicine,health,noun,健康,the state of being well,Good health is very important.,intermediate
Nouns - Health & Medicine,illness,noun,疾病,a disease or sickness,She recovered from a serious illness.,intermediate
Nouns - Health & Medicine,disease,noun,病,a disorder of the body,Heart disease is very common.,intermediate
Nouns - Health & Medicine,symptom,noun,症狀,a sign of illness,Fever is a symptom of flu.,intermediate
Nouns - Health & Medicine,pain,noun,疼痛,a feeling of discomfort,She felt pain in her knee.,intermediate
Nouns - Health & Medicine,headache,noun,頭痛,pain in the head,I have a terrible headache.,intermediate
Nouns - Health & Medicine,stomachache,noun,胃痛,pain in the stomach,He had a stomachache after eating.,intermediate
Nouns - Health & Medicine,backache,noun,背痛,pain in the back,She suffers from backache.,intermediate
Nouns - Health & Medicine,toothache,noun,牙痛,pain in a tooth,She went to the dentist for her toothache.,intermediate
Nouns - Health & Medicine,fever,noun,發燒,high body temperature,He had a high fever.,intermediate
Nouns - Health & Medicine,cold,noun,感冒,a common upper respiratory illness,I caught a cold last week.,easy
Nouns - Health & Medicine,flu,noun,流感,influenza,She was in bed with the flu.,intermediate
Nouns - Health & Medicine,cough,noun,咳嗽,an expulsion of air from the lungs,He had a dry cough.,intermediate
Nouns - Health & Medicine,sneeze,noun,打噴嚏,a sudden expulsion of air from the nose,She sneezed three times.,intermediate
Nouns - Health & Medicine,rash,noun,皮疹,a reddening of the skin,He developed a rash on his arm.,intermediate
Nouns - Health & Medicine,infection,noun,感染,an invasion of harmful microbes,The wound got infected.,intermediate
Nouns - Health & Medicine,injury,noun,受傷,physical harm to the body,He had a sports injury.,intermediate
Nouns - Health & Medicine,fracture,noun,骨折,a broken bone,She had a fracture in her wrist.,intermediate
Nouns - Health & Medicine,surgery,noun,手術,a medical operation,He had heart surgery.,intermediate
Nouns - Health & Medicine,operation,noun,手術,a surgical procedure,The operation went well.,intermediate
Nouns - Health & Medicine,treatment,noun,治療,medical care for an illness,She is undergoing treatment.,intermediate
Nouns - Health & Medicine,medicine,noun,藥,a substance for treating illness,Take the medicine with food.,intermediate
Nouns - Health & Medicine,pill,noun,藥片,a small tablet of medicine,Take one pill twice daily.,intermediate
Nouns - Health & Medicine,injection,noun,注射,medicine given by syringe,The nurse gave her an injection.,intermediate
Nouns - Health & Medicine,vaccine,noun,疫苗,a preparation that prevents disease,Get your vaccine today.,intermediate
Nouns - Health & Medicine,prescription,noun,處方,a doctor's written order for medicine,He filled his prescription.,intermediate
Nouns - Health & Medicine,appointment,noun,預約,a scheduled meeting with a doctor,I have a doctor's appointment.,intermediate
Nouns - Health & Medicine,diagnosis,noun,診斷,identifying a disease,The diagnosis took a week.,intermediate
Nouns - Health & Medicine,emergency,noun,緊急情況,a sudden serious situation,This is a medical emergency.,intermediate
Nouns - Health & Medicine,ward,noun,病房,a room in a hospital,She was in the maternity ward.,intermediate
Nouns - Health & Medicine,recovery,noun,康復,returning to health,Her recovery was quick.,intermediate
Nouns - Health & Medicine,exercise,noun,運動,physical activity for health,Regular exercise prevents disease.,easy
Nouns - Health & Medicine,stress,noun,壓力,mental tension,High stress can affect your health.,intermediate
Nouns - Health & Medicine,sleep,noun,睡眠,the state of rest,Good sleep is essential for health.,easy
Nouns - Health & Medicine,hygiene,noun,衛生,practices that preserve health,Good hygiene prevents infection.,intermediate
Nouns - Health & Medicine,nutrition,noun,營養,the intake of food for health,Good nutrition is important.,intermediate
Nouns - Health & Medicine,vitamin,noun,維生素,a nutrient essential for health,Take your vitamins.,intermediate
Nouns - Health & Medicine,blood pressure,noun,血壓,the pressure of blood in the arteries,Check your blood pressure.,intermediate
Nouns - Health & Medicine,heart rate,noun,心率,the speed of heartbeats,Her heart rate was elevated.,intermediate
Nouns - Health & Medicine,weight,noun,體重,how heavy someone is,He lost weight through exercise.,intermediate
Nouns - Health & Medicine,mental health,noun,心理健康,emotional and psychological wellbeing,Mental health matters.,intermediate
Nouns - Health & Medicine,therapy,noun,治療,treatment for a condition,She attends physical therapy.,intermediate
Nouns - Health & Medicine,rehabilitation,noun,康復治療,restoring health or ability,He completed rehabilitation.,intermediate
Nouns - Health & Medicine,dosage,noun,劑量,the amount of medicine taken,Follow the dosage instructions.,intermediate
Nouns - Health & Medicine,side effect,noun,副作用,an unwanted effect of medicine,Ask about side effects.,intermediate
Nouns - Health & Medicine,blood test,noun,血液檢測,an analysis of blood,She had a blood test.,intermediate
Nouns - Health & Medicine,first aid,noun,急救,emergency medical help,Give first aid.,intermediate
Nouns - Health & Medicine,emergency room,noun,急診室,where urgent cases are treated,Go to the emergency room.,intermediate
Nouns - Health & Medicine,specialist,noun,專科醫生,a doctor expert in a field,See a specialist.,intermediate
Nouns - Health & Medicine,general practitioner,noun,全科醫師,a family doctor,Visit your GP first.,intermediate
Nouns - Health & Medicine,bandage,noun,繃帶,a strip for wrapping a wound,Apply a bandage.,intermediate
Nouns - Health & Medicine,wheelchair,noun,輪椅,a chair with wheels for mobility,She uses a wheelchair.,intermediate
Nouns - Health & Medicine,crutch,noun,拐杖,a support for walking with an injury,He uses crutches.,intermediate
Nouns - Education,classroom,noun,教室,a room for teaching,The classroom was full.,intermediate
Nouns - Education,lesson,noun,課程,a period of teaching,The lesson lasted an hour.,intermediate
Nouns - Education,class,noun,班級課程,a group of students or teaching period,The class starts at 9am.,intermediate
Nouns - Education,lecture,noun,演講授課,a formal talk on a subject,The lecture was very interesting.,intermediate
Nouns - Education,course,noun,課程,a series of classes on a subject,I'm taking an online course.,intermediate
Nouns - Education,subject,noun,科目,a branch of knowledge studied,What is your favourite subject?,intermediate
Nouns - Education,curriculum,noun,課程綱要,the subjects taught at a school,The curriculum was updated.,intermediate
Nouns - Education,homework,noun,作業,school work done at home,He finished his homework.,intermediate
Nouns - Education,assignment,noun,作業任務,a task given by a teacher,The assignment is due tomorrow.,intermediate
Nouns - Education,project,noun,專案,a long piece of work,Our project is on climate change.,intermediate
Nouns - Education,exam,noun,考試,a formal test of knowledge,She passed the exam.,intermediate
Nouns - Education,test,noun,小考,a short assessment,We have a test tomorrow.,intermediate
Nouns - Education,quiz,noun,小測驗,a short informal test,There is a quiz on Friday.,intermediate
Nouns - Education,grade,noun,成績,a mark given for school work,She got top grades.,intermediate
Nouns - Education,score,noun,分數,the number of marks achieved,His score was 95%.,intermediate
Nouns - Education,pass,noun,及格,achieving the required standard,She got a pass in the exam.,intermediate
Nouns - Education,fail,noun,不及格,not achieving the required standard,He was afraid to fail.,easy
Nouns - Education,certificate,noun,證書,a document proving achievement,She received a certificate.,intermediate
Nouns - Education,degree,noun,學位,a qualification from university,He has a degree in economics.,intermediate
Nouns - Education,diploma,noun,文憑,a qualification below a degree,She earned a diploma.,intermediate
Nouns - Education,scholarship,noun,獎學金,money given to a student,He received a scholarship.,intermediate
Nouns - Education,textbook,noun,教科書,a book used for a subject,Buy the textbook before class.,intermediate
Nouns - Education,notebook,noun,筆記本,a book for writing notes,She filled her notebook.,intermediate
Nouns - Education,pen,noun,筆,a writing instrument with ink,Lend me your pen.,intermediate
Nouns - Education,pencil,noun,鉛筆,a writing instrument with graphite,Use a pencil for the sketch.,intermediate
Nouns - Education,ruler,noun,尺,a straight measuring tool,Draw a line with a ruler.,intermediate
Nouns - Education,calculator,noun,計算機,a device for mathematical calculations,Use a calculator for the sums.,intermediate
Nouns - Education,dictionary,noun,字典,a book of word definitions,Look it up in the dictionary.,intermediate
Nouns - Education,essay,noun,文章論文,a piece of writing on a topic,Write a 500-word essay.,intermediate
Nouns - Education,report,noun,報告,a detailed account or document,Submit the report by Friday.,intermediate
Nouns - Education,presentation,noun,簡報,a talk to an audience,She gave a great presentation.,intermediate
Nouns - Education,research,noun,研究,careful study of a topic,His research took two years.,intermediate
Nouns - Education,experiment,noun,實驗,a scientific test,They conducted an experiment.,intermediate
Nouns - Education,knowledge,noun,知識,facts learned or understood,Knowledge is power.,intermediate
Nouns - Education,skill,noun,技能,an ability to do something well,She has strong writing skills.,intermediate
Nouns - Education,education,noun,教育,the process of teaching and learning,Education is a right.,intermediate
Nouns - Education,language,noun,語言,a system of communication,She speaks two languages.,intermediate
Nouns - Education,grammar,noun,文法,the rules of a language,Study English grammar.,intermediate
Nouns - Education,vocabulary,noun,詞彙,the words known by a person,Build your vocabulary daily.,intermediate
Nouns - Education,spelling,noun,拼字,the way a word is spelt,Check your spelling.,intermediate
Nouns - Education,pronunciation,noun,發音,how a word is spoken,Practice your pronunciation.,intermediate
Nouns - Education,translation,noun,翻譯,converting text from one language to another,The translation was accurate.,intermediate
Nouns - Education,meaning,noun,意思,what a word or phrase signifies,What is the meaning of this word?,intermediate
Nouns - Education,example,noun,例子,something used to illustrate a rule,Give me an example.,intermediate
Nouns - Education,revision,noun,複習,reviewing material already studied,She spent the week on revision.,intermediate
Nouns - Education,graduation,noun,畢業,completing a course of study,Her graduation is in June.,intermediate
Nouns - Work & Business,job,noun,工作,regular paid employment,She got a new job.,intermediate
Nouns - Work & Business,work,noun,工作,a task or employment,He has a lot of work.,easy
Nouns - Work & Business,career,noun,職涯,a long-term occupation,She built a successful career.,intermediate
Nouns - Work & Business,profession,noun,職業,a paid occupation requiring qualifications,Medicine is a noble profession.,intermediate
Nouns - Work & Business,position,noun,職位,a person's role in an organisation,She applied for the position.,intermediate
Nouns - Work & Business,salary,noun,薪資,monthly pay for a job,He negotiated a higher salary.,intermediate
Nouns - Work & Business,wage,noun,工資,pay earned per hour,The minimum wage increased.,intermediate
Nouns - Work & Business,income,noun,收入,money earned regularly,Her income covers her expenses.,intermediate
Nouns - Work & Business,bonus,noun,獎金,extra payment for good performance,He received a bonus.,intermediate
Nouns - Work & Business,promotion,noun,晉升,moving to a higher position,She was given a promotion.,intermediate
Nouns - Work & Business,raise,noun,加薪,an increase in pay,He asked for a raise.,intermediate
Nouns - Work & Business,contract,noun,合約,a legally binding agreement,Sign the contract.,intermediate
Nouns - Work & Business,deadline,noun,截止日期,the latest time for a task,Meet the deadline.,intermediate
Nouns - Work & Business,meeting,noun,會議,a gathering to discuss something,The meeting starts at 10.,intermediate
Nouns - Work & Business,conference,noun,研討會,a formal meeting of many people,She attended the conference.,intermediate
Nouns - Work & Business,proposal,noun,提案,a plan put forward for consideration,He wrote a business proposal.,intermediate
Nouns - Work & Business,budget,noun,預算,a plan for money,Stay within the budget.,intermediate
Nouns - Work & Business,profit,noun,利潤,money gained after expenses,The company made a profit.,intermediate
Nouns - Work & Business,loss,noun,損失,money spent more than earned,The business reported a loss.,intermediate
Nouns - Work & Business,revenue,noun,收入營收,income from business activities,Revenue increased this year.,intermediate
Nouns - Work & Business,expense,noun,支出,money spent on something,Track your expenses.,intermediate
Nouns - Work & Business,invoice,noun,發票,a document requesting payment,Send the invoice to the client.,intermediate
Nouns - Work & Business,receipt,noun,收據,proof of payment,Keep your receipt.,intermediate
Nouns - Work & Business,client,noun,客戶,a person who uses a service,The client was satisfied.,intermediate
Nouns - Work & Business,supplier,noun,供應商,a company that provides goods,Our supplier is reliable.,intermediate
Nouns - Work & Business,competitor,noun,競爭者,a rival in business,They outperformed the competitor.,intermediate
Nouns - Work & Business,industry,noun,產業,a branch of economic activity,The tech industry is booming.,intermediate
Nouns - Work & Business,company,noun,公司,an organisation for business,She works for a large company.,intermediate
Nouns - Work & Business,startup,noun,新創公司,a new business venture,She founded a startup.,intermediate
Nouns - Work & Business,department,noun,部門,a division of an organisation,She manages the sales department.,intermediate
Nouns - Work & Business,staff,noun,員工,the employees of an organisation,The staff are very dedicated.,intermediate
Nouns - Work & Business,management,noun,管理層,the people who run an organisation,Management approved the plan.,intermediate
Nouns - Work & Business,strategy,noun,策略,a plan of action,The marketing strategy worked.,intermediate
Nouns - Work & Business,goal,noun,目標,an aim or objective,Set clear goals.,intermediate
Nouns - Work & Business,target,noun,目標量化,a specific result to achieve,They hit their sales target.,intermediate
Nouns - Work & Business,agreement,noun,協議,a mutual decision,They reached an agreement.,intermediate
Nouns - Work & Business,negotiation,noun,協商,discussion to reach an agreement,The negotiation was tough.,intermediate
Nouns - Work & Business,interview,noun,面試,a formal discussion for a job,She had a job interview.,intermediate
Nouns - Work & Business,resume,noun,履歷,a document of work experience,Update your resume.,intermediate
Nouns - Work & Business,feedback,noun,回饋,comments on performance,Give honest feedback.,intermediate
Nouns - Work & Business,training,noun,訓練,instruction for a job,She completed the training.,intermediate
Nouns - Work & Business,workshop,noun,工作坊,a hands-on learning session,They held a writing workshop.,intermediate
Nouns - Work & Business,employer,noun,雇主,a person or company that employs,The employer offered a good salary.,intermediate
Nouns - Work & Business,applicant,noun,應徵者,a person applying for a job,There were 50 applicants.,intermediate
Nouns - Work & Business,resignation,noun,辭職,leaving a job voluntarily,She handed in her resignation.,intermediate
Nouns - Work & Business,retirement,noun,退休,stopping work at the end of a career,He is looking forward to retirement.,intermediate
Nouns - Work & Business,overtime,noun,加班,work done beyond regular hours,She worked overtime this week.,intermediate
Nouns - Work & Business,break,noun,休息時間,a pause from work,Take a 10-minute break.,easy
Nouns - Work & Business,remote work,noun,遠距工作,working from home,She prefers remote work.,intermediate
Nouns - Nature,nature,noun,大自然,the natural world,She loves spending time in nature.,intermediate
Nouns - Nature,environment,noun,環境,the surroundings of living things,We must protect the environment.,intermediate
Nouns - Nature,weather,noun,天氣,the state of the atmosphere,The weather is unpredictable.,intermediate
Nouns - Nature,climate,noun,氣候,the usual weather in an area,The climate is changing.,intermediate
Nouns - Nature,season,noun,季節,one of the four annual periods,Spring is my favourite season.,intermediate
Nouns - Nature,spring,noun,春天,the season after winter,Flowers bloom in spring.,intermediate
Nouns - Nature,summer,noun,夏天,the warmest season,It is very hot in summer.,intermediate
Nouns - Nature,autumn,noun,秋天,the season after summer,Leaves fall in autumn.,intermediate
Nouns - Nature,winter,noun,冬天,the coldest season,It snows in winter.,intermediate
Nouns - Nature,sun,noun,太陽,the star that gives light and heat,The sun is very bright today.,intermediate
Nouns - Nature,moon,noun,月亮,the natural satellite of the earth,The moon is full tonight.,intermediate
Nouns - Nature,star,noun,星星,a burning ball of gas in space,The stars are beautiful.,intermediate
Nouns - Nature,sky,noun,天空,the space above the earth,The sky is clear and blue.,intermediate
Nouns - Nature,rain,noun,雨,water falling from clouds,The rain fell heavily.,intermediate
Nouns - Nature,snow,noun,雪,frozen water falling from the sky,The snow was deep.,intermediate
Nouns - Nature,wind,noun,風,air moving naturally,A strong wind blew.,intermediate
Nouns - Nature,storm,noun,暴風雨,a period of severe weather,The storm damaged many buildings.,intermediate
Nouns - Nature,thunder,noun,雷聲,the loud noise during a storm,Thunder woke me up.,intermediate
Nouns - Nature,lightning,noun,閃電,a flash of electricity in the sky,Lightning struck the tree.,intermediate
Nouns - Nature,fog,noun,霧,a thick cloud of water droplets,Fog reduced visibility.,intermediate
Nouns - Nature,ice,noun,冰,frozen water,The road was covered in ice.,intermediate
Nouns - Nature,flood,noun,洪水,an overflow of water over land,The flood destroyed homes.,intermediate
Nouns - Nature,drought,noun,旱災,a long period without rain,The drought killed the crops.,intermediate
Nouns - Nature,earthquake,noun,地震,a shaking of the earth,The earthquake measured 6.5.,intermediate
Nouns - Nature,volcano,noun,火山,a mountain that can erupt,The volcano erupted.,intermediate
Nouns - Nature,humidity,noun,濕度,the amount of moisture in the air,The humidity is very high.,intermediate
Nouns - Nature,air,noun,空氣,the gases surrounding the earth,Fresh air is good for you.,intermediate
Nouns - Nature,fire,noun,火,burning with flames,Keep away from fire.,intermediate
Nouns - Nature,earth,noun,泥土地球,the ground or our planet,Plant the seeds in the earth.,intermediate
Nouns - Nature,rock,noun,石頭,a hard natural material,She picked up a smooth rock.,intermediate
Nouns - Nature,sand,noun,沙子,loose grains of rock,The children played in the sand.,intermediate
Nouns - Nature,soil,noun,土壤,the layer of earth for plant growth,Rich soil grows healthy crops.,intermediate
Nouns - Nature,mud,noun,泥巴,wet sticky earth,His boots were covered in mud.,intermediate
Nouns - Nature,dust,noun,灰塵,fine particles of dirt,Dust covered the old books.,intermediate
Nouns - Nature,tree,noun,樹,a tall plant with a trunk,The oak tree is very old.,intermediate
Nouns - Nature,plant,noun,植物,a living organism that grows in soil,Water the plant daily.,easy
Nouns - Nature,flower,noun,花,the colourful part of a plant,The flowers are beautiful.,intermediate
Nouns - Nature,grass,noun,草,green plants covering ground,Lie on the grass.,intermediate
Nouns - Nature,leaf,noun,葉子,the flat part of a plant,The leaves change colour.,intermediate
Nouns - Nature,root,noun,樹根,the underground part of a plant,The roots are deep.,intermediate
Nouns - Nature,branch,noun,樹枝,a part growing from the trunk,The branch broke.,intermediate
Nouns - Nature,seed,noun,種子,the start of a new plant,Plant the seed in spring.,intermediate
Nouns - Nature,wave,noun,海浪,a moving ridge on water,Big waves hit the shore.,easy
Nouns - Nature,shore,noun,海岸,the edge of the sea or lake,They walked along the shore.,intermediate
Nouns - Nature,cliff,noun,懸崖,a steep rock face,The cliff dropped to the sea.,intermediate
Nouns - Nature,cave,noun,洞穴,a hollow space in rock,Bats live in the cave.,intermediate
Nouns - Nature,valley,noun,山谷,low land between mountains,A river runs through the valley.,intermediate
Nouns - Nature,hill,noun,小山,a raised area of land,They walked up the hill.,intermediate
Nouns - Nature,peak,noun,山頂,the top of a mountain,They reached the peak.,intermediate
Nouns - Nature,animal,noun,動物,a living creature,Wild animals live here.,intermediate
Nouns - Nature,bird,noun,鳥,a feathered animal,A bird sang in the tree.,intermediate
Nouns - Nature,insect,noun,昆蟲,a small six-legged creature,Bees are useful insects.,intermediate
Nouns - Nature,dog,noun,狗,a domestic animal,The dog wagged its tail.,intermediate
Nouns - Nature,cat,noun,貓,a small furry domestic animal,The cat sat by the window.,intermediate
Nouns - Nature,horse,noun,馬,a large animal used for riding,She rode a horse.,intermediate
Nouns - Nature,cow,noun,牛,a large farm animal,The cow grazed in the field.,intermediate
Nouns - Nature,pig,noun,豬,a farm animal,The pig rolled in the mud.,intermediate
Nouns - Nature,pollution,noun,污染,contamination of the environment,Air pollution is a problem.,intermediate
Nouns - Nature,energy,noun,能源,power from natural resources,Solar energy is clean.,intermediate
Nouns - Nature,wildlife,noun,野生動物,animals living in natural habitats,Protect wildlife.,intermediate
Nouns - Nature,habitat,noun,棲息地,the natural environment of an animal,Deforestation destroys habitat.,intermediate
Nouns - Nature,extinction,noun,滅絕,the dying out of a species,Some animals face extinction.,intermediate
Nouns - Nature,climate change,noun,氣候變遷,a long-term shift in global temperatures,Climate change is a serious issue.,intermediate
Nouns - Nature,global warming,noun,全球暖化,the rise in the earth's temperature,Global warming affects us all.,intermediate
Nouns - Nature,carbon footprint,noun,碳足跡,the amount of carbon dioxide released,Reduce your carbon footprint.,intermediate
Nouns - Nature,renewable energy,noun,再生能源,energy from a naturally replenished source,Invest in renewable energy.,intermediate
Nouns - Time,time,noun,時間,the ongoing sequence of events,What time is it?,easy
Nouns - Time,second,noun,秒,1/60 of a minute,Wait just a second.,intermediate
Nouns - Time,minute,noun,分鐘,60 seconds,I'll be there in five minutes.,intermediate
Nouns - Time,hour,noun,小時,60 minutes,The meeting lasted an hour.,intermediate
Nouns - Time,day,noun,天,a 24-hour period,She works five days a week.,easy
Nouns - Time,week,noun,星期,seven days,I'll see you next week.,easy
Nouns - Time,month,noun,月,one of twelve periods of the year,She visits once a month.,easy
Nouns - Time,year,noun,年,365 days,He has lived here for ten years.,easy
Nouns - Time,decade,noun,十年,a period of ten years,A lot changed in a decade.,intermediate
Nouns - Time,century,noun,世紀,a period of one hundred years,It happened two centuries ago.,intermediate
Nouns - Time,morning,noun,早上,the early part of the day,I love quiet mornings.,intermediate
Nouns - Time,noon,noun,正午,midday,They met at noon.,intermediate
Nouns - Time,afternoon,noun,下午,the time from noon to evening,I have a meeting in the afternoon.,intermediate
Nouns - Time,evening,noun,傍晚晚上,the later part of the day,Let's meet in the evening.,intermediate
Nouns - Time,night,noun,夜晚,the dark period of the day,She works at night.,intermediate
Nouns - Time,midnight,noun,午夜,12 o'clock at night,They arrived at midnight.,intermediate
Nouns - Time,dawn,noun,黎明,the first light of day,She woke at dawn.,intermediate
Nouns - Time,dusk,noun,黃昏,the time just after sunset,The sky turned orange at dusk.,intermediate
Nouns - Time,today,noun,今天,the current day,What are you doing today?,intermediate
Nouns - Time,tomorrow,noun,明天,the day after today,See you tomorrow.,intermediate
Nouns - Time,yesterday,noun,昨天,the day before today,I saw her yesterday.,intermediate
Nouns - Time,weekend,noun,週末,Saturday and Sunday,What are your weekend plans?,intermediate
Nouns - Time,weekday,noun,工作日,Monday to Friday,I commute on weekdays.,intermediate
Nouns - Time,holiday,noun,假日,a day of rest or celebration,It's a public holiday.,intermediate
Nouns - Time,Holiday,noun,假期,an extended period of rest,They went on vacation.,intermediate
Nouns - Time,Timetable,noun,行程表,a plan of times and events,Check the schedule.,intermediate
Nouns - Time,timetable,noun,時刻表,a table showing times,Look at the timetable.,intermediate
Nouns - Time,routine,noun,日常作息,a regular sequence of actions,He has a morning routine.,intermediate
Nouns - Time,moment,noun,時刻,a very short period of time,Just a moment please.,intermediate
Nouns - Time,period,noun,時期,a length of time,This is a difficult period.,intermediate
Nouns - Time,past,noun,過去,the time that has gone by,Let go of the past.,intermediate
Nouns - Time,present,noun,現在,the time happening now,Focus on the present.,intermediate
Nouns - Time,future,noun,未來,the time yet to come,Plan for the future.,intermediate
Nouns - Time,anniversary,noun,週年紀念日,a yearly celebration of an event,Happy anniversary!,intermediate
Nouns - Time,birthday,noun,生日,the anniversary of someone's birth,Happy birthday!,intermediate
Nouns - Time,festival,noun,節日,a celebration,The festival was colourful.,intermediate
Nouns - Time,occasion,noun,場合,a particular event or time,Dress for the occasion.,intermediate
Nouns - Time,event,noun,活動,something that happens,The event was a success.,intermediate
Nouns - Time,date,noun,日期,a specific day,What is the date today?,intermediate
Nouns - Time,calendar,noun,日曆,a chart showing days of the year,Check the calendar.,intermediate
Nouns - Time,alarm,noun,鬧鐘,a device that makes a sound at a set time,Set your alarm.,intermediate
Nouns - Time,sunrise,noun,日出,when the sun rises,They watched the sunrise.,intermediate
Nouns - Time,sunset,noun,日落,when the sun sets,The sunset was beautiful.,intermediate
Nouns - Time,generation,noun,世代,a group of people born around the same time,Each generation faces challenges.,intermediate
Nouns - Time,era,noun,時代,a long distinct period,The digital era has begun.,intermediate
Nouns - Abstract & Emotions,love,noun,愛,a deep feeling of affection,Love is important.,easy
Nouns - Abstract & Emotions,hate,noun,仇恨,a strong dislike,Hate never helps.,easy
Nouns - Abstract & Emotions,happiness,noun,快樂,the state of being happy,Happiness comes from within.,intermediate
Nouns - Abstract & Emotions,sadness,noun,悲傷,a feeling of sorrow,She felt deep sadness.,intermediate
Nouns - Abstract & Emotions,anger,noun,憤怒,a feeling of strong displeasure,He felt anger rise inside him.,intermediate
Nouns - Abstract & Emotions,fear,noun,恐懼,an unpleasant emotion from danger,She overcame her fear.,intermediate
Nouns - Abstract & Emotions,joy,noun,喜悅,a feeling of great pleasure,The birth brought joy.,intermediate
