Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - Body,nerve,noun,神經,a fibre that transmits signals,He pinched a nerve in his back.,easy
Nouns - Body,wound,noun,傷口,an injury to the body,Clean the wound before bandaging.,easy
Nouns - Body,scar,noun,疤痕,a mark left after healing,He has a scar on his chin.,easy
Nouns - Body,sweat,noun,汗水,liquid produced by the skin when hot,Sweat dripped down his face.,easy
Nouns - Body,tear,noun,眼淚,a drop of liquid from the eye,Tears ran down her cheeks.,easy
Nouns - Body,breath,noun,呼吸,air taken in and let out,Take a deep breath and relax.,easy
Nouns - Body,voice,noun,聲音,the sound produced when speaking,She has a beautiful voice.,easy
Nouns - Body,pulse,noun,脈搏,the regular beat of the heart,The nurse checked his pulse.,easy
Nouns - Body,temperature,noun,體溫,the heat of the body,The nurse took her temperature.,easy
Nouns - Food & Drink,food,noun,食物,things people eat,This food tastes amazing.,easy
Nouns - Food & Drink,meal,noun,一餐,a time when food is eaten,Breakfast is the most important meal.,intermediate
Nouns - Food & Drink,breakfast,noun,早餐,the first meal of the day,I had eggs for breakfast.,intermediate
Nouns - Food & Drink,lunch,noun,午餐,the midday meal,Let's meet for lunch.,intermediate
Nouns - Food & Drink,dinner,noun,晚餐,the evening meal,Dinner is at seven.,intermediate
Nouns - Food & Drink,snack,noun,零食,a small amount eaten between meals,An apple makes a great snack.,intermediate
Nouns - Food & Drink,dessert,noun,甜點,a sweet course after a main meal,She ordered chocolate cake for dessert.,intermediate
Nouns - Food & Drink,appetizer,noun,開胃菜,food served before the main course,We shared an appetizer.,intermediate
Nouns - Food & Drink,water,noun,水,a clear liquid essential for life,Drink eight glasses of water a day.,easy
Nouns - Food & Drink,juice,noun,果汁,a drink made from fruit,I had orange juice with breakfast.,intermediate
Nouns - Food & Drink,milk,noun,牛奶,a white liquid from cows,The child drinks milk every morning.,intermediate
Nouns - Food & Drink,coffee,noun,咖啡,a hot drink from roasted beans,I need coffee to wake up.,intermediate
Nouns - Food & Drink,tea,noun,茶,a hot drink made from leaves,Would you like some tea?,intermediate
Nouns - Food & Drink,soda,noun,汽水,a fizzy sweet drink,She ordered a soda with her meal.,intermediate
Nouns - Food & Drink,soup,noun,湯,a liquid food made by boiling,She made chicken soup.,intermediate
Nouns - Food & Drink,salad,noun,沙拉,a dish of raw vegetables,I have a salad for lunch.,intermediate
Nouns - Food & Drink,sandwich,noun,三明治,food between two slices of bread,He made a sandwich for work.,intermediate
Nouns - Food & Drink,rice,noun,米飯,a common grain staple,We eat rice with every meal.,intermediate
Nouns - Food & Drink,noodle,noun,麵條,a long thin strip of pasta,I love noodles in broth.,intermediate
Nouns - Food & Drink,pasta,noun,義大利麵,Italian noodle dishes,She cooked pasta for dinner.,intermediate
Nouns - Food & Drink,bread,noun,麵包,a baked food made from flour,She bought a loaf of bread.,intermediate
Nouns - Food & Drink,toast,noun,吐司,bread browned by heat,He had toast and butter.,intermediate
Nouns - Food & Drink,cake,noun,蛋糕,a sweet baked dessert,She baked a birthday cake.,intermediate
Nouns - Food & Drink,cookie,noun,餅乾,a small flat sweet biscuit,The kids ate all the cookies.,intermediate
Nouns - Food & Drink,chocolate,noun,巧克力,a sweet food made from cocoa,She loves dark chocolate.,intermediate
Nouns - Food & Drink,Sweets,noun,糖果,a sweet confection,The child asked for candy.,intermediate
Nouns - Food & Drink,ice cream,noun,冰淇淋,a frozen sweet dessert,We got ice cream at the park.,intermediate
Nouns - Food & Drink,meat,noun,肉,the flesh of animals used as food,He doesn't eat meat.,intermediate
Nouns - Food & Drink,chicken,noun,雞肉,the meat of a chicken,Grilled chicken is healthy.,intermediate
Nouns - Food & Drink,beef,noun,牛肉,the meat of a cow,She ordered a beef burger.,intermediate
Nouns - Food & Drink,pork,noun,豬肉,the meat of a pig,Pork ribs are on the menu.,intermediate
Nouns - Food & Drink,fish,noun,魚,an aquatic animal or its meat,We had fish on Friday.,intermediate
Nouns - Food & Drink,seafood,noun,海鮮,food from the sea,She loves seafood.,intermediate
Nouns - Food & Drink,shrimp,noun,蝦,a small shellfish,She ordered shrimp pasta.,intermediate
Nouns - Food & Drink,egg,noun,蛋,an oval object laid by birds,I like scrambled eggs.,intermediate
Nouns - Food & Drink,cheese,noun,起司,a dairy food made from milk,He added cheese to the pasta.,intermediate
Nouns - Food & Drink,butter,noun,奶油,a dairy product used in cooking,Spread butter on the toast.,intermediate
Nouns - Food & Drink,yogurt,noun,優格,a fermented dairy product,She eats yogurt for breakfast.,intermediate
Nouns - Food & Drink,cream,noun,鮮奶油,thick fat-rich milk product,Add cream to the soup.,intermediate
Nouns - Food & Drink,vegetable,noun,蔬菜,a plant eaten as food,Eat more vegetables.,intermediate
Nouns - Food & Drink,fruit,noun,水果,the sweet part of a plant,Fresh fruit is a great snack.,intermediate
Nouns - Food & Drink,apple,noun,蘋果,a round red or green fruit,An apple a day keeps the doctor away.,intermediate
Nouns - Food & Drink,banana,noun,香蕉,a long yellow fruit,He peeled the banana.,intermediate
Nouns - Food & Drink,orange,noun,橙子,a round citrus fruit,She squeezed fresh orange juice.,intermediate
Nouns - Food & Drink,grape,noun,葡萄,a small round fruit in clusters,He bought a bunch of grapes.,intermediate
Nouns - Food & Drink,strawberry,noun,草莓,a small red fruit,She put strawberries on her cereal.,intermediate
Nouns - Food & Drink,watermelon,noun,西瓜,a large green fruit with red flesh,Watermelon is refreshing in summer.,intermediate
Nouns - Food & Drink,mango,noun,芒果,a tropical orange fruit,She ate a ripe mango.,intermediate
Nouns - Food & Drink,lemon,noun,檸檬,a yellow sour citrus fruit,Add lemon to the water.,intermediate
Nouns - Food & Drink,tomato,noun,番茄,a red vegetable-like fruit,Add tomatoes to the salad.,intermediate
Nouns - Food & Drink,potato,noun,馬鈴薯,a starchy underground vegetable,She boiled some potatoes.,intermediate
Nouns - Food & Drink,carrot,noun,紅蘿蔔,an orange root vegetable,Carrots are good for your eyes.,intermediate
Nouns - Food & Drink,onion,noun,洋蔥,a strong-smelling bulb vegetable,Dice the onion finely.,intermediate
Nouns - Food & Drink,garlic,noun,大蒜,a pungent bulb used for flavouring,Fry the garlic in olive oil.,intermediate
Nouns - Food & Drink,mushroom,noun,蘑菇,a type of fungus eaten as food,She added mushrooms to the stir-fry.,intermediate
Nouns - Food & Drink,spinach,noun,菠菜,a dark green leafy vegetable,Add spinach to the smoothie.,intermediate
Nouns - Food & Drink,corn,noun,玉米,a yellow grain vegetable,She grilled corn on the cob.,intermediate
Nouns - Food & Drink,bean,noun,豆子,a seed used as a vegetable,Add beans to the stew.,intermediate
Nouns - Food & Drink,nut,noun,堅果,a hard-shelled seed,She snacked on mixed nuts.,intermediate
Nouns - Food & Drink,oil,noun,油,a liquid used for cooking,Heat the oil before adding vegetables.,intermediate
Nouns - Food & Drink,sugar,noun,糖,a sweet substance,Don't add too much sugar.,intermediate
Nouns - Food & Drink,salt,noun,鹽,a white mineral for seasoning,Season with salt and pepper.,intermediate
Nouns - Food & Drink,sauce,noun,醬汁,a liquid condiment,She drizzled sauce over the dish.,intermediate
Nouns - Food & Drink,spice,noun,香料,a flavouring ingredient,This dish has many spices.,intermediate
Nouns - Food & Drink,herb,noun,香草,a plant used for flavouring,Fresh herbs make food taste better.,intermediate
Nouns - Food & Drink,flour,noun,麵粉,a powder made from grain,She measured two cups of flour.,intermediate
Nouns - Food & Drink,ingredient,noun,食材,a component used in cooking,List all the ingredients.,intermediate
Nouns - Food & Drink,recipe,noun,食譜,instructions for preparing food,Follow the recipe carefully.,intermediate
Nouns - Food & Drink,portion,noun,份量,an amount of food served,The portion size was generous.,intermediate
Nouns - Food & Drink,diet,noun,飲食,the food a person eats regularly,She is on a healthy diet.,intermediate
Nouns - Food & Drink,allergy,noun,過敏,an adverse reaction to food,She has a peanut allergy.,intermediate
Nouns - Food & Drink,flavor,noun,味道,the taste of something,This dish has a rich flavor.,intermediate
Nouns - Food & Drink,calorie,noun,卡路里,a unit of energy in food,Check the calorie count.,intermediate
Nouns - Food & Drink,menu,noun,菜單,a list of dishes available,Can I see the menu?,intermediate
Nouns - Food & Drink,bill,noun,帳單,a request for payment at a restaurant,Can I have the bill please?,intermediate
Nouns - Food & Drink,tip,noun,小費,extra money given for good service,Leave a tip for the waiter.,intermediate
Nouns - Food & Drink,takeaway,noun,外帶,food bought to eat elsewhere,Let's order a takeaway tonight.,intermediate
Nouns - Food & Drink,leftovers,noun,剩菜,food remaining after a meal,Store the leftovers in the fridge.,intermediate
Nouns - Home & Household,home,noun,家,the place where someone lives,I feel most comfortable at home.,easy
Nouns - Home & Household,house,noun,房子,a building where people live,They bought a new house.,easy
Nouns - Home & Household,Flat,noun,公寓,a set of rooms in a building,She lives in a small apartment.,intermediate
Nouns - Home & Household,flat,noun,公寓英式,a set of rooms in a building,He rented a flat in the city.,intermediate
Nouns - Home & Household,room,noun,房間,a space within a building,The hotel room was comfortable.,intermediate
Nouns - Home & Household,bedroom,noun,臥室,a room for sleeping,The children share a bedroom.,intermediate
Nouns - Home & Household,bathroom,noun,浴室,a room with a toilet and shower,The bathroom needs cleaning.,intermediate
Nouns - Home & Household,kitchen,noun,廚房,a room for cooking,The kitchen smells of garlic.,intermediate
Nouns - Home & Household,living room,noun,客廳,the main room for relaxing,We watch TV in the living room.,intermediate
Nouns - Home & Household,dining room,noun,用餐室,a room for eating meals,We eat in the dining room.,intermediate
Nouns - Home & Household,toilet,noun,廁所,a room or fixture for waste,Where is the nearest toilet?,intermediate
Nouns - Home & Household,shower,noun,淋浴,a device for washing with water,He took a quick shower.,intermediate
Nouns - Home & Household,bathtub,noun,浴缸,a large basin for bathing,She soaked in the bathtub.,intermediate
Nouns - Home & Household,sink,noun,水槽,a basin for washing hands or dishes,Wash your hands in the sink.,intermediate
Nouns - Home & Household,tap,noun,水龍頭,a device to control water flow,Turn off the tap.,intermediate
Nouns - Home & Household,door,noun,門,an opening in a wall for entering,Please close the door.,intermediate
Nouns - Home & Household,window,noun,窗戶,an opening for light and air,Open the window for fresh air.,intermediate
Nouns - Home & Household,wall,noun,牆壁,a vertical structure dividing space,The walls are painted white.,intermediate
Nouns - Home & Household,floor,noun,地板,the lower surface of a room,The floor is slippery.,intermediate
Nouns - Home & Household,ceiling,noun,天花板,the upper surface of a room,The ceiling is very high.,intermediate
Nouns - Home & Household,roof,noun,屋頂,the top covering of a building,The roof needs repair.,intermediate
Nouns - Home & Household,staircase,noun,樓梯,a set of steps inside a building,Watch your step on the staircase.,intermediate
Nouns - Home & Household,Lift,noun,電梯,a machine for moving between floors,Take the elevator to the third floor.,intermediate
Nouns - Home & Household,balcony,noun,陽台,an outdoor platform on a building,She drinks coffee on the balcony.,intermediate
Nouns - Home & Household,garden,noun,花園,an area for growing plants,He tends the garden on weekends.,intermediate
Nouns - Home & Household,garage,noun,車庫,a shelter for a car,Park the car in the garage.,intermediate
Nouns - Home & Household,corridor,noun,走廊,a long passage in a building,Walk down the corridor.,intermediate
Nouns - Home & Household,table,noun,桌子,a flat surface on legs,Set the table for dinner.,intermediate
Nouns - Home & Household,chair,noun,椅子,a seat for one person,Pull up a chair.,intermediate
Nouns - Home & Household,sofa,noun,沙發,a comfortable seat for several people,She fell asleep on the sofa.,intermediate
Nouns - Home & Household,bed,noun,床,a piece of furniture for sleeping,He went to bed early.,intermediate
Nouns - Home & Household,pillow,noun,枕頭,a soft cushion for the head,She hugged her pillow.,intermediate
Nouns - Home & Household,blanket,noun,毯子,a thick covering for warmth,She wrapped herself in a blanket.,intermediate
Nouns - Home & Household,sheet,noun,床單,a thin layer of fabric for a bed,Change the sheets every week.,intermediate
Nouns - Home & Household,wardrobe,noun,衣櫃,a large cupboard for clothes,Hang your coat in the wardrobe.,intermediate
Nouns - Home & Household,shelf,noun,架子,a flat surface fixed to a wall,Put the books on the shelf.,intermediate
Nouns - Home & Household,drawer,noun,抽屜,a sliding compartment in furniture,The keys are in the top drawer.,intermediate
Nouns - Home & Household,cupboard,noun,收納櫃,a piece of furniture for storage,Plates are in the cupboard.,intermediate
Nouns - Home & Household,fridge,noun,雪櫃,a cold appliance for storing food,Put the leftovers in the fridge.,intermediate
Nouns - Home & Household,freezer,noun,冷凍庫,an appliance for freezing food,She keeps ice cream in the freezer.,intermediate
Nouns - Home & Household,oven,noun,烤箱,an appliance for baking,Preheat the oven to 180 degrees.,intermediate
Nouns - Home & Household,microwave,noun,微波爐,an appliance for quick heating,Heat it in the microwave.,intermediate
Nouns - Home & Household,stove,noun,爐子,an appliance for cooking,Cook the soup on the stove.,intermediate
Nouns - Home & Household,kettle,noun,水壺,an appliance for boiling water,Boil the kettle for tea.,intermediate
Nouns - Home & Household,toaster,noun,烤麵包機,an appliance for toasting bread,Put the bread in the toaster.,intermediate
Nouns - Home & Household,washing machine,noun,洗衣機,an appliance for washing clothes,The washing machine is on.,intermediate
Nouns - Home & Household,dryer,noun,烘乾機,an appliance for drying clothes,Put the wet clothes in the dryer.,intermediate
Nouns - Home & Household,vacuum cleaner,noun,吸塵器,an appliance for cleaning floors,She vacuumed the living room.,intermediate
Nouns - Home & Household,iron,noun,熨斗,an appliance for smoothing clothes,He ironed his shirt.,intermediate
Nouns - Home & Household,lamp,noun,燈,a device for giving light,Turn on the lamp.,intermediate
Nouns - Home & Household,clock,noun,時鐘,a device showing time,The clock says noon.,intermediate
Nouns - Home & Household,mirror,noun,鏡子,a reflective surface,She checked herself in the mirror.,intermediate
Nouns - Home & Household,curtain,noun,窗簾,fabric hanging over a window,Draw the curtains at night.,intermediate
Nouns - Home & Household,carpet,noun,地毯,a thick fabric floor covering,The carpet needs vacuuming.,intermediate
Nouns - Home & Household,rug,noun,小地毯,a small floor mat,There is a rug by the sofa.,intermediate
Nouns - Home & Household,bin,noun,垃圾桶,a container for rubbish,Throw that in the bin.,intermediate
Nouns - Home & Household,mop,noun,拖把,a tool for cleaning floors,She mopped the kitchen floor.,intermediate
Nouns - Home & Household,broom,noun,掃帚,a tool for sweeping,Sweep with the broom.,intermediate
Nouns - Home & Household,bucket,noun,水桶,a round open container,Fill the bucket with water.,intermediate
Nouns - Home & Household,towel,noun,毛巾,a cloth for drying,Hang your towel to dry.,intermediate
Nouns - Home & Household,soap,noun,肥皂,a cleansing substance,Wash your hands with soap.,intermediate
Nouns - Home & Household,shampoo,noun,洗髮精,a liquid for washing hair,She ran out of shampoo.,intermediate
Nouns - Home & Household,toothbrush,noun,牙刷,a brush for cleaning teeth,Replace your toothbrush monthly.,intermediate
Nouns - Home & Household,toothpaste,noun,牙膏,a paste for cleaning teeth,He squeezed out the toothpaste.,intermediate
Nouns - Home & Household,razor,noun,刮鬍刀,a tool for shaving,He cut himself with the razor.,intermediate
Nouns - Home & Household,scissors,noun,剪刀,a cutting tool with two blades,Cut the paper with scissors.,intermediate
Nouns - Home & Household,battery,noun,電池,a device storing electrical energy,The battery is dead.,intermediate
Nouns - Home & Household,plug,noun,插頭,a device connecting to electricity,Plug in the charger.,intermediate
Nouns - Home & Household,switch,noun,開關,a device for turning things on or off,Flip the switch.,intermediate
Nouns - Home & Household,key,noun,鑰匙,a device for locking or unlocking,I forgot my key.,intermediate
Nouns - Home & Household,lock,noun,鎖,a device for securing something,Double-check the lock.,intermediate
Nouns - Home & Household,tool,noun,工具,an implement used for a task,He keeps his tools in the garage.,intermediate
Nouns - Home & Household,hammer,noun,鐵鎚,a tool for hitting nails,He hammered the nail in.,intermediate
Nouns - Home & Household,screw,noun,螺絲,a fastener with a twisted edge,Tighten the screw.,intermediate
Nouns - Home & Household,screwdriver,noun,螺絲起子,a tool for turning screws,Pass me the screwdriver.,intermediate
Nouns - Home & Household,ladder,noun,梯子,a structure for climbing,He used a ladder to change the bulb.,intermediate
Nouns - Home & Household,rent,noun,租金,money paid to use a property,The rent is due on the first.,easy
Nouns - Home & Household,landlord,noun,房東,a person who rents out property,The landlord fixed the tap.,intermediate
Nouns - Home & Household,tenant,noun,房客,a person who rents property,The tenant moved in last month.,intermediate
Nouns - Home & Household,lease,noun,租約,a contract for renting,Sign the lease before moving in.,intermediate
Nouns - Home & Household,mortgage,noun,房貸,a loan for buying property,They paid off their mortgage.,intermediate
Nouns - Home & Household,neighbour,noun,鄰居,a person living next door,Our neighbours are very kind.,intermediate
Nouns - Home & Household,electricity,noun,電,power used in homes,The electricity bill is high.,intermediate
Nouns - Home & Household,gas,noun,瓦斯,fuel used for heating and cooking,The gas oven works well.,intermediate
Nouns - Home & Household,water bill,noun,水費,a charge for water usage,Pay the water bill online.,intermediate
Nouns - Home & Household,rubbish,noun,垃圾,waste material,Put the rubbish outside.,intermediate
Nouns - Home & Household,recycling,noun,回收,reprocessing used materials,Separate the recycling from the rubbish.,intermediate
Nouns - Clothing,clothes,noun,衣服,things people wear,She folded her clothes.,intermediate
Nouns - Clothing,outfit,noun,服裝,a set of clothes worn together,She chose a casual outfit.,intermediate
Nouns - Clothing,fashion,noun,時尚,popular style of clothing,She follows the latest fashion.,intermediate
Nouns - Clothing,style,noun,風格,a way of dressing,He has a unique style.,intermediate
