Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Verbs - Action,stop,verb,停止,to cease,Stop talking please.,easy
Verbs - Action,finish,verb,完成,to complete something,He finished his work early.,easy
Verbs - Action,try,verb,嘗試,to attempt to do something,Try this dish.,easy
Verbs - Action,learn,verb,學習,to gain knowledge,She is learning English.,easy
Verbs - Action,study,verb,學習研究,to devote time to learning,He studies every night.,easy
Verbs - Action,read,verb,閱讀,to understand written words,I read a book each week.,easy
Verbs - Action,write,verb,寫,to mark letters or words,She writes a diary every day.,easy
Verbs - Action,listen,verb,聆聽,to pay attention to sound,Listen carefully.,easy
Verbs - Action,speak,verb,說話,to use language,She speaks three languages.,easy
Verbs - Action,talk,verb,交談,to have a conversation,Let's talk later.,easy
Verbs - Action,call,verb,打電話叫,to contact by phone or to name,I'll call you later.,easy
Verbs - Action,send,verb,發送,to cause something to go elsewhere,She sent an email.,easy
Verbs - Action,receive,verb,收到,to be given something,Did you receive my message?,easy
Verbs - Action,wait,verb,等待,to stay until something happens,Please wait here.,easy
Verbs - Action,change,verb,改變,to make or become different,She changed her hair.,easy
Verbs - Action,show,verb,展示,to make something visible,Show me your work.,easy
Verbs - Action,keep,verb,保持保留,to continue having something,Keep the change.,easy
Verbs - Action,bring,verb,帶來,to carry something to a place,Bring a jacket.,easy
Verbs - Action,leave,verb,離開,to go away from a place,I leave at 8am.,easy
Verbs - Action,return,verb,回來歸還,to come back or give back,When will you return?,easy
Verbs - Action,meet,verb,見面,to come together with someone,Let's meet for coffee.,easy
Verbs - Action,join,verb,加入,to become part of a group,Would you like to join us?,easy
Verbs - Action,move,verb,移動搬家,to go from one place to another,They moved to a new city.,easy
Verbs - Action,carry,verb,攜帶,to hold and transport something,Can you carry this?,easy
Verbs - Action,hold,verb,拿著,to keep something in your hands,Hold the door open.,easy
Verbs - Action,throw,verb,丟,to propel something through the air,Throw the ball.,easy
Verbs - Action,catch,verb,接住,to intercept something thrown,Catch the keys.,easy
Verbs - Action,cut,verb,切剪,to divide with a sharp tool,Cut the vegetables.,easy
Verbs - Action,cook,verb,烹飪,to prepare food by applying heat,She cooks every night.,easy
Verbs - Action,clean,verb,清潔,to remove dirt from something,Clean the table after eating.,easy
Verbs - Action,wash,verb,洗,to clean with water,Wash your hands before eating.,easy
Verbs - Action,fix,verb,修理,to repair something broken,He fixed the leaking tap.,easy
Verbs - Action,break,verb,打破壞掉,to damage something,Don't break the vase.,easy
Verbs - Action,build,verb,建造,to construct something,They are building a new house.,easy
Verbs - Action,create,verb,創造,to bring something into existence,She created a new recipe.,easy
Verbs - Action,plan,verb,計劃,to decide on a course of action,We are planning a trip.,easy
Verbs - Action,choose,verb,選擇,to pick from available options,Choose whichever you like.,easy
Verbs - Action,decide,verb,決定,to make a choice,He decided to quit his job.,easy
Verbs - Action,understand,verb,理解,to grasp the meaning of something,Do you understand?,easy
Verbs - Action,remember,verb,記得,to recall something from memory,I remember you.,easy
Verbs - Action,forget,verb,忘記,to fail to recall,Don't forget your keys.,easy
Verbs - Action,lose,verb,失去輸,to no longer have something,He lost his wallet.,easy
Verbs - Action,win,verb,贏,to succeed in a contest,She won the race.,easy
Verbs - Action,believe,verb,相信,to accept something as true,I believe in you.,easy
Verbs - Action,agree,verb,同意,to have the same opinion,I agree completely.,easy
Verbs - Action,disagree,verb,不同意,to differ in opinion,I disagree with that.,easy
Verbs - Action,hope,verb,希望,to want something good to happen,I hope to see you soon.,easy
Verbs - Action,wish,verb,祝願,to want something that may not happen,I wish you luck.,easy
Verbs - Action,thank,verb,感謝,to express gratitude,Thank you for coming.,easy
Verbs - Action,apologise,verb,道歉,to express regret,He apologised for being late.,easy
Verbs - Action,explain,verb,解釋,to make something clear,Please explain this to me.,easy
Verbs - Action,describe,verb,描述,to give details of something,Describe what you saw.,easy
Verbs - Action,discuss,verb,討論,to talk about something in detail,Let's discuss this now.,easy
Verbs - Action,share,verb,分享,to give part of something to others,She shared her food.,easy
Verbs - Action,protect,verb,保護,to keep something safe from harm,Protect your skin from the sun.,easy
Verbs - Action,allow,verb,允許,to permit something,Are cameras allowed here?,easy
Verbs - Action,check,verb,檢查,to examine something,Check your email.,easy
Verbs - Action,count,verb,數算,to determine the total number,Count how many are left.,easy
Verbs - Action,measure,verb,測量,to find the size of something,Measure the room before buying furniture.,easy
Verbs - Action,compare,verb,比較,to examine for similarities and differences,Compare the two prices.,easy
Verbs - Action,happen,verb,發生,to take place,What happened?,easy
Verbs - Action,seem,verb,似乎,to appear to be,He seems tired today.,easy
Verbs - Action,feel,verb,感覺,to experience an emotion,I feel happy today.,easy
Verbs - Action,hear,verb,聽到,to perceive sound,Did you hear that?,easy
Verbs - Action,smell,verb,聞到,to perceive scent,The flowers smell lovely.,easy
Verbs - Action,taste,verb,品嚐,to perceive flavor,This tastes delicious.,easy
Verbs - Action,touch,verb,觸摸,to make physical contact,Don't touch the screen.,easy
Verbs - Action,visit,verb,拜訪,to go to see someone or a place,We visited the museum.,easy
Verbs - Action,travel,verb,旅行,to go from one place to another,She loves to travel.,easy
Verbs - Action,drive,verb,駕駛,to operate a vehicle,He drives to work.,easy
Verbs - Action,fly,verb,飛乘飛機,to travel through the air,They flew to Paris.,easy
Verbs - Action,swim,verb,游泳,to move through water,She swims every morning.,easy
Verbs - Action,climb,verb,攀爬,to go up something,They climbed the hill.,easy
Verbs - Action,jump,verb,跳,to push yourself into the air,Jump over the puddle.,easy
Verbs - Action,dance,verb,跳舞,to move rhythmically to music,They danced all night.,easy
Verbs - Action,sing,verb,唱歌,to make music with your voice,She sings beautifully.,easy
Verbs - Action,laugh,verb,笑,to express amusement audibly,The joke made everyone laugh.,easy
Verbs - Action,cry,verb,哭泣,to shed tears,She cried at the end of the film.,easy
Verbs - Action,smile,verb,微笑,to curve your lips upward,He smiled warmly.,easy
Verbs - Action,hug,verb,擁抱,to hold someone tightly with your arms,She hugged her mother.,easy
Verbs - Action,wave,verb,揮手,to move your hand in greeting,She waved goodbye.,easy
Verbs - Action,nod,verb,點頭,to move your head up and down,He nodded in agreement.,easy
Verbs - Action,pull,verb,拉,to draw something toward yourself,Pull the door open.,easy
Verbs - Action,push,verb,推,to press something away from yourself,Push the button.,easy
Verbs - Action,lift,verb,舉起,to move something upward,He lifted the heavy box.,easy
Verbs - Action,drop,verb,掉落放下,to let something fall,Don't drop it.,easy
Verbs - Action,enjoy,verb,享受,to take pleasure in something,Enjoy your meal!,easy
Verbs - Action,relax,verb,放鬆,to free yourself from tension,Relax after a busy day.,easy
Verbs - Action,celebrate,verb,慶祝,to mark a happy event,Let's celebrate your promotion!,easy
Verbs - Action,surprise,verb,使驚訝,to cause astonishment,She surprised him with a gift.,easy
Verbs - Action,impress,verb,使印象深刻,to cause admiration,He impressed the interviewers.,easy
Verbs - Action,disappoint,verb,使失望,to fail to meet expectations,She didn't want to disappoint them.,easy
Verbs - Action,hurt,verb,傷害受傷,to cause pain,He hurt his ankle while running.,easy
Verbs - Action,heal,verb,癒合治癒,to become healthy again,The wound healed quickly.,easy
Verbs - Action,recover,verb,康復,to return to good health,She is recovering well.,easy
Verbs - Action,exercise,verb,鍛鍊,to engage in physical activity,She exercises every morning.,easy
Verbs - Action,rest,verb,休息,to stop and relax,Rest for a while.,easy
Verbs - Action,vote,verb,投票,to make a choice in an election,Vote on election day.,easy
Verbs - Action,communicate,verb,溝通,to share information with others,Communicate clearly.,easy
Verbs - Action,connect,verb,連接,to link together,Connect the cable.,easy
Verbs - Action,search,verb,搜尋,to look for something,Search the internet.,easy
Verbs - Action,download,verb,下載,to transfer data to a device,Download the app.,easy
Verbs - Action,upload,verb,上傳,to send data to a server,Upload the file.,easy
Verbs - Action,install,verb,安裝,to set up software,Install the update.,easy
Verbs - Action,update,verb,更新,to make something current,Update your password.,easy
Verbs - Action,type,verb,打字,to use a keyboard,Type your username.,easy
Verbs - Action,click,verb,點擊,to press a mouse button,Click the link.,easy
Verbs - Action,print,verb,列印,to produce a document on paper,Print the document.,easy
Verbs - Action,delete,verb,刪除,to remove something permanently,Delete the old files.,easy
Verbs - Action,copy,verb,複製,to make a duplicate,Copy the text.,easy
Verbs - Action,paste,verb,貼上,to insert copied content,Paste it here.,easy
Verbs - Action,post,verb,發布,to publish on social media,She posts every day.,easy
Verbs - Action,book,verb,預訂,to reserve something in advance,Book a table for two.,easy
Verbs - Action,order,verb,訂購點餐,to request something,She ordered a coffee.,easy
Verbs - Action,deliver,verb,遞送,to bring something to a destination,They deliver on Tuesdays.,easy
Verbs - Action,apply,verb,申請應用,to make a formal request,Apply for the job online.,easy
Verbs - Action,hire,verb,雇用,to employ someone,They hired a new manager.,easy
Verbs - Action,earn,verb,賺,to receive money for work,He earns a good salary.,easy
Verbs - Action,invest,verb,投資,to put money into something for return,She invested in stocks.,easy
Verbs - Action,borrow,verb,借借入,to take something to use temporarily,Can I borrow your pen?,easy
Verbs - Action,lend,verb,借借出,to give something temporarily,Can you lend me some money?,easy
Verbs - Action,owe,verb,欠,to be obligated to pay,I owe you a favour.,easy
Verbs - Action,rent,verb,租,to pay to use something temporarily,They rented a flat.,easy
Verbs - Action,grow,verb,成長種植,to increase in size or to cultivate,She grows vegetables.,easy
Verbs - Action,develop,verb,發展開發,to cause to grow or advance,He developed a new skill.,easy
Verbs - Action,improve,verb,改善,to become or make better,She improved her English.,easy
Verbs - Action,reduce,verb,減少,to make smaller in amount,Reduce your sugar intake.,easy
Verbs - Action,increase,verb,增加,to become or make larger,Sales increased this year.,easy
Verbs - Action,produce,verb,生產,to make or manufacture,The factory produces cars.,easy
Verbs - Action,prepare,verb,準備,to make something ready,She prepared dinner.,easy
Verbs - Action,provide,verb,提供,to supply something,The hotel provides breakfast.,easy
Verbs - Action,include,verb,包括,to contain as part of the whole,The price includes tax.,easy
Verbs - Action,accept,verb,接受,to agree to take something,She accepted the offer.,easy
Verbs - Action,refuse,verb,拒絕,to say no to something,He refused to apologise.,easy
Verbs - Action,offer,verb,提供提出,to present something for consideration,She offered to help.,easy
Verbs - Action,request,verb,請求,to formally ask for something,He requested a meeting.,easy
Verbs - Action,suggest,verb,建議,to propose something,I suggest we leave early.,easy
Verbs - Action,recommend,verb,推薦,to advise in favour of,She recommended a good book.,easy
Verbs - Action,advise,verb,建議,to offer guidance to someone,I advise you to see a doctor.,easy
Verbs - Action,warn,verb,警告,to tell of a danger,Warn them about the ice.,easy
Verbs - Action,promise,verb,承諾,to say you will definitely do something,She promised to call.,easy
Verbs - Action,confirm,verb,確認,to verify something is true,Please confirm your attendance.,easy
Verbs - Action,cancel,verb,取消,to decide not to proceed,She cancelled the order.,easy
Verbs - Action,arrange,verb,安排,to organise or plan something,Can you arrange a meeting?,easy
Verbs - Action,organise,verb,組織,to plan and coordinate,He organised the event.,easy
Verbs - Action,manage,verb,管理設法,to be in charge of or to succeed in,She manages a team of ten.,easy
Verbs - Action,achieve,verb,實現,to successfully reach a goal,He achieved his goal.,easy
Verbs - Action,complete,verb,完成,to finish something fully,Complete the form.,easy
Verbs - Action,fail,verb,失敗,to not succeed,Don't be afraid to fail.,easy
Verbs - Action,succeed,verb,成功,to achieve what you wanted,She succeeded in the exam.,easy
Verbs - Action,perform,verb,表演執行,to carry out a task or entertain,The band performed well.,easy
Verbs - Action,retire,verb,退休,to stop working at the end of a career,She retired at 65.,easy
Verbs - Action,graduate,verb,畢業,to complete a course of study,He graduated last June.,easy
Verbs - Action,volunteer,verb,自願,to offer to do something without pay,She volunteers at the hospital.,easy
Verbs - Action,donate,verb,捐贈,to give to a charitable cause,He donates to charity every month.,easy
Verbs - Action,recycle,verb,回收,to reprocess used materials,Please recycle the bottles.,easy
Verbs - Action,waste,verb,浪費,to use something carelessly,Don't waste food.,easy
Verbs - Action,plant,verb,種植,to put a seed in the ground,She planted roses in the garden.,easy
Verbs - Action,water,verb,澆水,to pour water onto plants,Water the plants daily.,easy
Verbs - Action,feed,verb,餵食,to give food to a person or animal,Feed the cat twice a day.,easy
Verbs - Action,turn on,verb,打開電器,to start a device,Turn on the TV.,easy
Verbs - Action,turn off,verb,關掉電器,to stop a device,Turn off the lights before leaving.,easy
Verbs - Action,look for,verb,尋找,to search for something,I'm looking for my phone.,easy
Verbs - Action,look after,verb,照顧,to take care of something or someone,Can you look after my cat?,easy
Verbs - Action,give up,verb,放棄,to stop trying,Never give up on your dreams.,easy
Verbs - Action,take off,verb,脫下起飛,to remove clothing or when a plane departs,Take off your shoes.,easy
Verbs - Action,put on,verb,穿上戴上,to dress in something,Put on your coat before going out.,easy
Verbs - Action,fill in,verb,填寫,to complete a form,Fill in the form completely.,easy
Verbs - Action,set up,verb,設置,to prepare or install something,Set up the computer.,easy
Verbs - Action,wake up,verb,起床叫醒,to stop sleeping or to rouse someone,Wake up! It's already 8.,easy
Verbs - Action,grow up,verb,長大,to become an adult,She grew up in the countryside.,easy
Verbs - Action,show up,verb,出現,to arrive at a place,He didn't show up to the meeting.,easy
Verbs - Action,run out,verb,用完,to have no more of something,We ran out of milk.,easy
Verbs - Action,run into,verb,偶遇,to meet unexpectedly,I ran into an old friend.,easy
Verbs - Action,carry out,verb,執行,to perform a task,Carry out the instructions carefully.,easy
Verbs - Action,find out,verb,發現查出,to discover information,I'll find out what happened.,easy
Verbs - Action,take care of,verb,照顧,to care for something or someone,Take care of yourself.,easy
Verbs - Action,deal with,verb,處理,to take action on something,How do you deal with stress?,easy
Verbs - Action,come up with,verb,想出,to produce an idea,Can you come up with a solution?,easy
Verbs - Action,figure out,verb,弄清楚,to understand through thinking,I can't figure it out.,easy
Verbs - Action,work out,verb,鍛鍊解決,to exercise or to find a solution,Work out three times a week.,easy
Verbs - Action,sort out,verb,解決整理,to deal with or organise something,Let me sort this out.,easy
Verbs - Action,point out,verb,指出,to bring attention to something,She pointed out a mistake.,easy
Verbs - Action,turn out,verb,結果是,to end up being a certain way,It turned out to be a great day.,easy
Verbs - Action,hold on,verb,稍等抓緊,to wait briefly or to grip,Hold on a moment please.,easy
Verbs - Action,calm down,verb,冷靜下來,to become less agitated,Please calm down.,easy
Verbs - Action,cheer up,verb,振作開心起來,to become or make less sad,Cheer up! It'll be fine.,easy
Verbs - Action,get along with,verb,與人相處,to have a good relationship,They get along very well.,easy
Verbs - Action,bring up,verb,提出撫養,to raise a topic or a child,He was brought up in Spain.,easy
Verbs - Action,log in,verb,登入,to sign into an account,Log in with your email.,easy
Verbs - Action,log out,verb,登出,to sign out of an account,Log out when finished.,easy
Verbs - Action,sign up,verb,註冊,to register for a service,Sign up for free.,easy
Verbs - Action,subscribe,verb,訂閱,to sign up for regular access,Subscribe to the newsletter.,easy
Adverbs,very,adverb,非常,to a great degree,She is very kind.,intermediate
Adverbs,really,adverb,真的非常,in actual fact or very much,I really appreciate your help.,intermediate
Adverbs,quite,adverb,相當,to a certain extent,The movie was quite good.,intermediate
Adverbs,rather,adverb,相當寧可,to a certain extent,It's rather cold today.,intermediate
Adverbs,extremely,adverb,極度地,to a very great degree,It was extremely hot.,intermediate
Adverbs,absolutely,adverb,絕對地,completely and without doubt,I absolutely agree.,intermediate
Adverbs,completely,adverb,完全地,in every way,She is completely right.,intermediate
Adverbs,totally,adverb,完全地,wholly,I totally forgot about it.,intermediate
Adverbs,nearly,adverb,幾乎,almost but not quite,I nearly missed the bus.,intermediate
Adverbs,almost,adverb,幾乎,not quite,I'm almost ready to go.,intermediate
Adverbs,just,adverb,剛只是,a short time ago or simply,I just finished eating.,intermediate
Adverbs,only,adverb,只,no more than,I only ate a little.,intermediate
Adverbs,even,adverb,甚至,used for emphasis,Even he was surprised.,intermediate
Adverbs,still,adverb,仍然,continuing up to now,She is still sleeping.,intermediate
Adverbs,already,adverb,已經,before the expected time,I've already eaten.,intermediate
Adverbs,yet,adverb,還,up to now or so far,Have you finished yet?,intermediate
Adverbs,soon,adverb,很快,in a short time,I'll be there soon.,intermediate
Adverbs,now,adverb,現在,at the present time,I need to leave now.,intermediate
Adverbs,then,adverb,然後那時,at that time or next,"We ate, then walked home.",intermediate
Adverbs,later,adverb,稍後,after the present time,See you later.,intermediate
Adverbs,ago,adverb,之前,in the past by a certain amount,I saw him a week ago.,intermediate
Adverbs,recently,adverb,最近,not long ago,I recently moved to a new flat.,intermediate
Adverbs,always,adverb,總是,at all times,He always arrives early.,intermediate
Adverbs,usually,adverb,通常,in most cases,I usually drink tea in the morning.,intermediate
Adverbs,often,adverb,經常,many times,She often visits her parents.,intermediate
Adverbs,sometimes,adverb,有時候,occasionally,I sometimes take the bus.,intermediate
Adverbs,rarely,adverb,很少,not often,He rarely eats meat.,intermediate
Adverbs,never,adverb,從不,at no time,I never eat fast food.,intermediate
Adverbs,again,adverb,再次,one more time,Please say it again.,intermediate
Adverbs,together,adverb,一起,with each other,Let's do this together.,intermediate
Adverbs,alone,adverb,獨自地,without others,She prefers to work alone.,intermediate
Adverbs,here,adverb,這裡,in this place,Come here please.,intermediate
Adverbs,there,adverb,那裡,in that place,Put it over there.,intermediate
Adverbs,everywhere,adverb,到處,in all places,Tourists are everywhere.,intermediate
Adverbs,somewhere,adverb,某處,in some place,Let's go somewhere quiet.,intermediate
Adverbs,anywhere,adverb,任何地方,in any place,I'll go anywhere.,intermediate
Adverbs,nowhere,adverb,哪裡都不,not in any place,There was nowhere to sit.,intermediate
Adverbs,outside,adverb,外面,outdoors,Let's eat outside today.,intermediate
Adverbs,inside,adverb,裡面,indoors,Come inside out of the rain.,intermediate
Adverbs,upstairs,adverb,樓上,on an upper floor,She is waiting upstairs.,intermediate
Adverbs,downstairs,adverb,樓下,on a lower floor,He went downstairs.,intermediate
Adverbs,away,adverb,離開遠處,at a distance,She looked away.,intermediate
Adverbs,back,adverb,回,to the original place,Come back soon.,easy
Adverbs,forward,adverb,向前,toward the front,Move forward please.,intermediate
Adverbs,slowly,adverb,慢慢地,at a slow pace,Please speak slowly.,intermediate
Adverbs,quickly,adverb,迅速地,at a fast pace,She finished quickly.,intermediate
Adverbs,carefully,adverb,小心地,with care,Read the instructions carefully.,intermediate
Adverbs,clearly,adverb,清楚地,in a clear manner,Speak more clearly please.,intermediate
Adverbs,loudly,adverb,大聲地,in a loud manner,Please don't speak loudly.,intermediate
Adverbs,quietly,adverb,安靜地,in a quiet manner,She spoke very quietly.,intermediate
Adverbs,well,adverb,好地,in a good manner,She sings very well.,easy
Adverbs,badly,adverb,糟糕地,in a bad manner,He played badly today.,intermediate
Adverbs,hard,adverb,努力地,with great effort,He worked very hard.,intermediate
Adverbs,easily,adverb,容易地,without difficulty,She solved it easily.,intermediate
Adverbs,probably,adverb,可能,most likely,She will probably be late.,intermediate
Adverbs,maybe,adverb,也許,possibly,Maybe we can try again.,intermediate
Adverbs,perhaps,adverb,或許,possibly,Perhaps you are right.,intermediate
Adverbs,definitely,adverb,一定當然,without doubt,I will definitely come.,intermediate
Adverbs,certainly,adverb,當然,"yes, without doubt",Certainly! I can help you.,intermediate
Adverbs,actually,adverb,其實,in reality,I actually enjoy it.,intermediate
Adverbs,finally,adverb,終於,at the end or after a long time,We finally arrived.,intermediate
Adverbs,suddenly,adverb,突然,very quickly and unexpectedly,It suddenly started raining.,intermediate
Adverbs,immediately,adverb,立即,at once,Come here immediately.,intermediate
Adverbs,eventually,adverb,最終,in the end after some time,She eventually agreed.,intermediate
Adverbs,normally,adverb,通常,in the usual way,Normally I leave at 8.,intermediate
Adverbs,generally,adverb,一般地,in most cases,I generally agree with you.,intermediate
Adverbs,especially,adverb,尤其是,particularly,"I love fruit, especially mangoes.",intermediate
Adverbs,particularly,adverb,特別地,to a higher degree,She is particularly talented.,intermediate
Adverbs,mainly,adverb,主要地,mostly,It was mainly my fault.,intermediate
Adverbs,mostly,adverb,大多數,for the most part,The work is mostly done.,intermediate
Adverbs,partly,adverb,部分地,to some extent,It is partly my fault.,intermediate
Adverbs,hardly,adverb,幾乎不,barely or scarcely,I can hardly hear you.,intermediate
Adverbs,barely,adverb,勉強幾乎不,only just,She barely made it on time.,intermediate
Adverbs,instead,adverb,代替,in place of something,I'll have water instead.,intermediate
Adverbs,otherwise,adverb,否則,if not,"Leave early, otherwise you'll be late.",intermediate
Adverbs,anyway,adverb,無論如何,regardless of what happened,"Anyway, let's move on.",intermediate
Adverbs,however,adverb,然而,despite that,"It was expensive. However, it was worth it.",intermediate
Adverbs,therefore,adverb,因此,for that reason,He was late; therefore he missed it.,intermediate
Adverbs,too,adverb,也太,in addition or excessively,She came too.,intermediate
Adverbs,also,adverb,也,in addition,He also speaks French.,intermediate
Adverbs,so,adverb,這麼,to a great degree,It's so cold today.,intermediate
Adverbs,enough,adverb,足夠地,to the required degree,She is old enough to vote.,intermediate
Adverbs,more,adverb,更多地,to a greater degree,Practice more every day.,intermediate
Adverbs,less,adverb,較少地,to a smaller degree,Eat less sugar.,intermediate
Adverbs,once,adverb,一次,one time,I've only visited once.,intermediate
Adverbs,twice,adverb,兩次,two times,She called me twice.,intermediate
Adverbs,daily,adverb,每天,every day,Exercise daily for good health.,intermediate
Adverbs,weekly,adverb,每週,every week,They meet weekly.,intermediate
Adverbs,monthly,adverb,每月,every month,She pays rent monthly.,intermediate
Adverbs,early,adverb,早,before expected time,Please arrive early.,intermediate
Adverbs,late,adverb,晚,after expected time,Don't be late.,intermediate
Adverbs,straight,adverb,直接地,without deviation,Go straight ahead.,intermediate
Adverbs,overnight,adverb,一夜之間,during the night,The situation changed overnight.,intermediate
Adverbs,altogether,adverb,總共完全,completely or in total,That's 50 dollars altogether.,intermediate
Adverbs,apart,adverb,分開地,separately or at a distance,They live far apart.,intermediate
Adverbs,backward,adverb,向後,in the direction behind,Take a step backward.,intermediate
Adverbs,upward,adverb,向上,in a rising direction,Prices are moving upward.,intermediate
Adverbs,downward,adverb,向下,in a falling direction,The temperature moved downward.,intermediate
Adverbs,meanwhile,adverb,與此同時,at the same time,Meanwhile I'll prepare dinner.,intermediate
Adverbs,afterwards,adverb,之後,after the event,We can talk afterwards.,intermediate
Adverbs,beforehand,adverb,事先,before the event,Prepare everything beforehand.,intermediate
Adverbs,gradually,adverb,逐漸地,slowly over time,She gradually improved.,intermediate
Prepositions & Conjunctions,in,preposition,在裡面,inside or within a space,The keys are in the drawer.,intermediate
Prepositions & Conjunctions,on,preposition,在上面,on the surface of something,Put the book on the table.,intermediate
Prepositions & Conjunctions,at,preposition,在某處某時,at a specific location or time,Meet me at the station.,intermediate
Prepositions & Conjunctions,to,preposition,到向,in the direction of,We went to the market.,intermediate
Prepositions & Conjunctions,from,preposition,從來自,indicating origin,She is from Canada.,intermediate
Prepositions & Conjunctions,for,preposition,為了對於,indicating purpose or duration,I bought this for you.,intermediate
Prepositions & Conjunctions,with,preposition,和一起,accompanied by,She came with her sister.,intermediate
Prepositions & Conjunctions,without,preposition,沒有,lacking something,I can't work without coffee.,intermediate
Prepositions & Conjunctions,of,preposition,的屬於,indicating belonging,A glass of water please.,intermediate
Prepositions & Conjunctions,about,preposition,關於大約,concerning or approximately,We talked about the plan.,intermediate
Prepositions & Conjunctions,by,preposition,靠近由,near or through the means of,The shop closes by 9pm.,intermediate
Prepositions & Conjunctions,up,preposition,向上,toward a higher position,Walk up the stairs.,intermediate
Prepositions & Conjunctions,down,preposition,向下,toward a lower position,Go down the hill carefully.,intermediate
Prepositions & Conjunctions,over,preposition,在上方超過,above or more than,The plane flew over the city.,intermediate
Prepositions & Conjunctions,under,preposition,在下面,below or less than,The cat is under the table.,intermediate
Prepositions & Conjunctions,above,preposition,在上方,higher than something,The plane was above the clouds.,intermediate
Prepositions & Conjunctions,below,preposition,在下方,lower than something,Temperature fell below zero.,intermediate
Prepositions & Conjunctions,between,preposition,在兩者之間,in the middle of two things,The park is between the banks.,intermediate
Prepositions & Conjunctions,among,preposition,在多者之中,in the middle of a group,She sat among her friends.,intermediate
Prepositions & Conjunctions,beside,preposition,在旁邊,next to something,She sat beside me.,intermediate
Prepositions & Conjunctions,near,preposition,靠近,close to something,The hotel is near the station.,intermediate
Prepositions & Conjunctions,next to,preposition,緊鄰,immediately beside,Sit next to me.,intermediate
Prepositions & Conjunctions,behind,preposition,在後面,at the back of,The park is behind the school.,intermediate
Prepositions & Conjunctions,in front of,preposition,在前面,facing something,Wait in front of the building.,intermediate
Prepositions & Conjunctions,inside,preposition,在裡面,within the interior,The dog is inside the house.,intermediate
Prepositions & Conjunctions,outside,preposition,在外面,beyond the interior,They waited outside.,intermediate
Prepositions & Conjunctions,across,preposition,在對面橫跨,from one side to another,The shop is across the road.,intermediate
Prepositions & Conjunctions,through,preposition,穿過透過,moving from one side to another,She walked through the park.,intermediate
Prepositions & Conjunctions,around,preposition,在周圍大約,surrounding or approximately,We walked around the city.,intermediate
