Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Describing Places,"The neighbourhood is very safe and family-friendly, which is why we chose to live here.",這個社區非常安全且適合家庭居住，這也是我們選擇住在這裡的原因。,which is why clause for explanation
Describing Places,The museum is huge and you could easily spend an entire day there.,這個博物館非常大，你可以輕鬆地在那裡待上一整天。,could easily for expressing possibility
Describing Places,The countryside is breathtaking in autumn when the leaves change colour.,秋天樹葉變色的時候，鄉村風景令人嘆為觀止。,when clause for seasonal description
Describing Places,The old town is full of narrow cobblestone streets and historic buildings.,舊城區到處是狹窄的鵝卵石街道和歷史性建築。,full of for abundance description
Describing Places,It is a very walkable city; you can get almost anywhere on foot within twenty minutes.,這是一個非常適合步行的城市；幾乎任何地方步行都可以在二十分鐘內到達。,walkable with semi-colon for supporting detail
Describing Places,The apartment is on the tenth floor and has a beautiful view of the skyline.,這間公寓在十樓，可以欣賞到美麗的天際線景色。,has a view of for scenic description
Describing Places,The area has changed a lot over the past ten years; it used to be quite run-down.,這個地區在過去十年裡變化了很多；它過去曾經相當破舊。,used to + infinitive for past contrast
Describing Places,The market is open every morning from six until noon and sells everything from fresh fruit to handmade crafts.,這個市場每天早上六點到中午開放，販售從新鮮水果到手工藝品的各種東西。,from... to for range with time detail
Describing Places,"The hotel is perfectly located, just a short walk from the beach and the main shopping street.",這家酒店位置絕佳，距海灘和主要購物街僅需步行片刻。,just a short walk from for proximity
Describing Places,The town has a very strong sense of community; everyone knows each other.,這個小鎮有非常強烈的社區意識；大家都互相認識。,sense of community with semi-colon support
Describing Places,The forest is incredibly peaceful; the only sounds you can hear are birds and the wind.,這片森林非常寧靜；你能聽到的只有鳥叫聲和風聲。,the only... are for emphasis on quietness
Describing Places,The stadium can hold over fifty thousand people and has a fantastic atmosphere on match days.,這個體育場可以容納超過五萬人，比賽日的氣氛非常棒。,can hold + number for capacity
Describing Places,"The café is tucked away on a side street, which makes it feel like a hidden gem.",這家咖啡廳藏在一條小巷裡，讓人感覺像是發現了一個隱藏的寶藏。,tucked away for hidden location description
Describing Places,The library is a beautiful old building that was built over a hundred years ago.,這座圖書館是一棟美麗的老建築，建造於一百多年前。,that relative clause for historical context
Past Events,I went to the supermarket this morning and bought everything on my list.,我今天早上去了超市，買了清單上的所有東西。,simple past for completed action
Past Events,She called me last night and told me some exciting news.,她昨晚打電話給我，告訴我一些令人興奮的消息。,simple past sequence of events
Past Events,We had a great time at the party last weekend.,我們上週末的派對玩得很開心。,simple past with had a great time
Past Events,He forgot to bring his wallet and had to borrow money from a friend.,他忘了帶錢包，不得不向朋友借錢。,simple past with had to for obligation
Past Events,I missed the bus this morning and arrived at work twenty minutes late.,我今天早上錯過了公車，上班遲到了二十分鐘。,simple past sequence with result
Past Events,"She finished her project ahead of schedule, which impressed her manager.",她提前完成了她的專案，讓她的經理留下深刻印象。,which clause for consequence
Past Events,We visited my grandparents last month and stayed for a whole week.,我們上個月去探望了祖父母，並且住了整整一個星期。,simple past with duration
Past Events,He broke his leg while playing football and had to use crutches for six weeks.,他踢足球時摔斷了腿，不得不用拐杖走路六週。,while + gerund for simultaneous action
Past Events,I spent the entire afternoon looking for my keys before I finally found them in my coat pocket.,我花了整個下午找我的鑰匙，最後終於在大衣口袋裡找到了。,before clause with eventually finding
Past Events,She graduated from university last June and started working the following month.,她去年六月從大學畢業，下個月就開始工作了。,sequence of life events in past
Past Events,We got caught in a heavy rainstorm on our way home and got completely soaked.,我們回家途中遇上了大暴雨，全身都濕透了。,get caught in for unexpected event
Past Events,He worked at that company for ten years before deciding to start his own business.,他在那家公司工作了十年，然後決定自己創業。,past simple duration + before deciding
Past Events,I watched a documentary last night that completely changed the way I think about climate change.,我昨晚看了一部紀錄片，完全改變了我對氣候變遷的看法。,that relative clause after documentary
Past Events,She won first place in the competition and received a scholarship as a prize.,她在比賽中獲得了第一名，並獲得了獎學金作為獎勵。,past sequence with result
Past Events,We went on a camping trip last summer and it rained almost every day.,我們去年夏天去露營，幾乎每天都下雨。,simple past with disappointing result
Past Events,He proposed to her on their anniversary and she said yes immediately.,他在他們的週年紀念日向她求婚，她立刻答應了。,simple past romantic narrative
Past Events,"I had already eaten dinner by the time she arrived, so I just had some dessert.",她到的時候我已經吃過晚飯了，所以我只吃了點甜點。,past perfect had already done
Past Events,She had been studying English for three years before she moved to London.,她搬到倫敦之前已經學了三年的英文。,past perfect continuous for duration before event
Past Events,We were having dinner when the power suddenly went out.,我們正在吃晚飯時，電突然斷了。,past continuous interrupted by past simple
Past Events,He had just fallen asleep when his phone started ringing.,他剛剛睡著，手機就開始響了。,had just + past simple for immediate interruption
Present Situations,I am currently working on a very challenging project.,我目前正在進行一個非常具有挑戰性的專案。,present continuous for current activity
Present Situations,She is looking for a new apartment because her current lease is ending.,她正在找新公寓，因為她目前的租約快到期了。,present continuous for ongoing search
Present Situations,He has been living in this city for five years now.,他已經在這座城市住了五年了。,present perfect continuous for duration
Present Situations,We are thinking about moving to a bigger house.,我們在考慮搬到更大的房子。,present continuous for future plan
Present Situations,She has just finished her exams and is feeling very relieved.,她剛剛考完試，感到非常鬆了一口氣。,present perfect just with current feeling
Present Situations,"I have been feeling a bit tired lately, probably because of the long hours at work.",我最近感覺有點疲倦，可能是因為工作時間很長。,present perfect continuous with probable reason
Present Situations,He is working overtime this week because there is a big deadline coming up.,他這週在加班，因為有一個重要的截止日期快到了。,present continuous this week with reason
Present Situations,We have been together for three years and are planning to get married next year.,我們在一起三年了，計劃明年結婚。,present perfect continuous with future plan
Present Situations,She is doing really well in her new job and has already received a promotion.,她在新工作中表現非常出色，已經獲得了晉升。,present continuous + present perfect with already
Present Situations,I have known him since we were in school together.,我從我們一起上學的時候就認識他了。,present perfect with since for long duration
Present Situations,She is taking an online course to improve her skills.,她正在上線上課程來提升她的技能。,present continuous with purpose
Present Situations,He hasn't been sleeping well recently due to the stress at work.,他最近因為工作壓力睡眠不太好。,present perfect negative with recent and due to
Present Situations,"We are renovating our kitchen at the moment, so everything is a bit chaotic.",我們目前正在翻修廚房，所以一切都有點混亂。,present continuous at the moment with result
Present Situations,She has applied for several jobs and is waiting to hear back.,她已經申請了幾份工作，正在等待回覆。,present perfect + present continuous combination
Present Situations,"I am trying to cut down on caffeine, which is harder than I expected.",我正在嘗試減少咖啡因的攝取，這比我預期的要難。,which clause for honest reflection
Present Situations,He is learning to play the guitar and is really enjoying it.,他正在學彈吉他，非常享受其中。,present continuous for skill in progress
Present Situations,We are saving up for a holiday abroad next year.,我們正在為明年的海外假期存錢。,saving up for + future goal
Present Situations,She has been working here for six months and has already made a great impression.,她在這裡工作了六個月，已經留下了很好的印象。,present perfect continuous with achievement
Present Situations,"I am not feeling well today, so I might leave work early.",我今天感覺不舒服，所以我可能會提早離開工作。,present continuous for current state + might
Present Situations,He has recently taken up cycling as a way to stay fit.,他最近開始騎自行車，作為保持健康的方式。,recently + present perfect with as a way to
Future Plans,I am going to apply for a promotion next month.,我下個月要去申請晉升。,going to for planned future action
Future Plans,She is planning to travel around Europe after she graduates.,她畢業後計劃環遊歐洲。,plan to + infinitive with after clause
Future Plans,We will probably move to a bigger city within the next two years.,我們可能在未來兩年內搬到更大的城市。,will + probably for uncertain future
Future Plans,He is thinking about going back to university to get a master's degree.,他在考慮回大學攻讀碩士學位。,thinking about + gerund for considering
Future Plans,I hope to have my own business by the time I'm forty.,我希望在我四十歲之前擁有自己的事業。,hope to + infinitive with by the time
Future Plans,She is going to start learning Japanese next semester.,她下學期要開始學日文。,going to for decided future plan
Future Plans,We are flying to Barcelona next Friday for a long weekend.,我們下週五飛往巴塞隆納度長週末。,present continuous for arranged future
Future Plans,He is going to retire in five years and travel the world.,他打算在五年後退休並環遊世界。,going to + and for linked future plans
Future Plans,I will call you as soon as I hear any news.,我一有任何消息就會打電話給你。,will + as soon as clause
Future Plans,She is due to give a presentation at the conference next week.,她預計下週在會議上做一個簡報。,be due to for scheduled events
Future Plans,We are hoping to buy our first home before the end of the year.,我們希望在年底前買到我們的第一套房子。,be hoping to for optimistic plan
Future Plans,He has decided to change careers and is currently retraining.,他已決定轉行，目前正在接受再培訓。,present perfect decision + present continuous action
Future Plans,I am not sure what I will do after I finish this project.,我不確定完成這個專案後我會做什麼。,uncertainty about future with will
Future Plans,She is set to become the youngest manager in the company's history.,她將成為公司歷史上最年輕的經理。,be set to for imminent achievement
Future Plans,We plan to expand the business into new markets over the next three years.,我們計劃在未來三年內將業務拓展到新市場。,plan to + infinitive with time frame
Future Plans,He is going to ask her to marry him on their holiday next month.,他打算下個月度假時向她求婚。,going to for decided personal plan
Future Plans,I will do my best to finish everything before the deadline.,我會盡力在截止日期前完成所有事情。,will do my best + infinitive
Future Plans,She will probably be promoted if she keeps up this level of performance.,如果她繼續保持這種表現水準，她可能會獲得晉升。,conditional will for likely outcome
Future Plans,We are looking forward to seeing everyone at the reunion next year.,我們期待明年在聚會上見到大家。,look forward to + gerund for anticipated event
Future Plans,He is saving up so that he can buy a car by the end of the year.,他正在存錢，以便在年底前能買到一輛車。,so that + can for purpose
Habits & Routines,I always make a to-do list at the start of each day to stay organised.,我每天開始時都會列一份待辦事項清單，以保持條理。,always + infinitive of purpose
Habits & Routines,She tends to procrastinate when she has a task she finds boring.,她在做無聊的任務時往往會拖延。,tend to for habit with when clause
Habits & Routines,He has a habit of checking his phone first thing in the morning.,他有早上第一件事就查手機的習慣。,have a habit of + gerund
Habits & Routines,We try to eat dinner together at least four times a week.,我們盡量一週至少一起吃四次晚飯。,try to with at least + frequency
Habits & Routines,She rarely misses a gym session; she goes five times a week without fail.,她很少錯過健身房的課；她每週去五次，從不間斷。,rarely + semi-colon + without fail for emphasis
Habits & Routines,I have been in the habit of journalling every night for the past two years.,我過去兩年一直有每晚寫日記的習慣。,present perfect for duration of habit
Habits & Routines,He tends to work late on Thursdays because that is when reports are due.,他週四往往工作到很晚，因為那是報告截止的時間。,tend to with day-specific reason
Habits & Routines,We make it a point to have a family game night every Friday.,我們特意安排每個週五晚上舉辦家庭遊戲之夜。,make it a point to + infinitive
Habits & Routines,She always stretches for ten minutes after every workout.,她每次鍛鍊後總是會伸展十分鐘。,always + time detail after every
Habits & Routines,I have gotten into the habit of meditating for fifteen minutes every morning.,我已經養成了每天早上冥想十五分鐘的習慣。,get into the habit of + gerund
Habits & Routines,He automatically switches to English whenever he meets someone from abroad.,每當他遇到來自國外的人時，他會自動切換成英文。,automatically with whenever clause
Habits & Routines,She likes to plan her week on Sunday evenings so she feels prepared.,她喜歡在週日晚上計劃她的一週，這樣她就會感到有準備。,so clause for purpose of habit
Habits & Routines,I find it hard to concentrate unless I have complete silence.,除非完全安靜，否則我很難集中注意力。,unless clause for condition
Habits & Routines,We always prepare our outfits the night before to save time in the morning.,我們總是在前一天晚上準備好衣服，以節省早上的時間。,always with infinitive of purpose
Habits & Routines,He has a routine of reviewing his goals every Sunday to track his progress.,他每週日都會審視自己的目標，以追蹤進度。,have a routine of + gerund
Habits & Routines,She drinks a glass of warm water with lemon every morning before eating.,她每天早上吃東西前都會喝一杯加檸檬的溫水。,before gerund for sequence
Habits & Routines,I set aside time each week to read something unrelated to work.,我每週撥出時間閱讀與工作無關的東西。,set aside time + infinitive
Habits & Routines,He keeps a water bottle on his desk to remind himself to stay hydrated.,他把水瓶放在桌上，提醒自己保持水分。,to + infinitive for purpose with remind
Habits & Routines,We take a short walk after lunch every day; it helps us feel more alert.,我們每天午飯後都會短暫散步；這幫助我們保持清醒。,semi-colon with supporting benefit
Habits & Routines,She has been going to the same coffee shop every morning for five years.,她每天早上去同一家咖啡廳已經有五年了。,present perfect continuous for long-standing habit
Opinions & Preferences,I think it is important to keep learning new things throughout your life.,我認為一生中不斷學習新事物是很重要的。,I think + it is important to
Opinions & Preferences,"In my opinion, communication is the key to any successful relationship.",依我看，溝通是任何成功關係的關鍵。,In my opinion + noun phrase
Opinions & Preferences,I prefer working in the morning when my mind is fresh.,我更喜歡在早上頭腦清醒的時候工作。,prefer + gerund + when clause
Opinions & Preferences,She would rather stay home and read than go to a noisy party.,她寧可待在家裡看書，也不願去嘈雜的派對。,would rather than for preference
Opinions & Preferences,I find it much easier to concentrate when I work from home.,我發現在家工作時更容易集中注意力。,I find it + adjective + infinitive
Opinions & Preferences,"Personally, I think social media does more harm than good.",我個人認為社群媒體弊大於利。,Personally + I think with comparative expression
Opinions & Preferences,He believes that experience is more valuable than academic qualifications.,他認為經驗比學歷更有價值。,believe that with comparative
Opinions & Preferences,"From my point of view, it is better to be honest even if it is uncomfortable.",從我的角度來看，即使不舒服，誠實也是更好的選择。,From my point of view + even if clause
Opinions & Preferences,"I am not a big fan of crowded places; I much prefer quiet, open spaces.",我不太喜歡擁擠的地方；我更喜歡安靜、開闊的空間。,not a big fan of + semi-colon contrast
Opinions & Preferences,She feels strongly that children should spend more time outdoors.,她強烈認為孩子們應該多花時間在戶外。,feel strongly that + should
Opinions & Preferences,I tend to prefer quality over quantity when it comes to friendships.,說到友誼，我傾向於重質不重量。,tend to prefer with when it comes to
Opinions & Preferences,"As far as I am concerned, money cannot buy happiness.",就我而言，金錢買不到幸福。,As far as I am concerned + clause
Opinions & Preferences,I strongly believe that everyone deserves equal opportunities regardless of their background.,我強烈相信每個人都應該得到平等的機會，無論其背景如何。,strongly believe that with regardless of
Opinions & Preferences,"In my view, the most important quality in a leader is empathy.",依我看，領導者最重要的素質是同理心。,In my view with superlative
Opinions & Preferences,I would much rather have a few close friends than many acquaintances.,我寧願有幾個親密的朋友，也不願有許多點頭之交。,would much rather than for strong preference
Opinions & Preferences,She thinks that learning a second language opens up so many opportunities.,她認為學習第二語言會開啟很多機會。,thinks that with so many for emphasis
Opinions & Preferences,"To be honest, I am not entirely convinced by that argument.",說實話，我對那個論點並不完全信服。,To be honest with not entirely for polite disagreement
Opinions & Preferences,I find that taking regular breaks actually improves my productivity.,我發現定期休息實際上會提高我的生產力。,I find that with actually for surprising truth
Opinions & Preferences,He is of the opinion that technology has made people less connected.,他認為科技讓人們的連結變少了。,be of the opinion that for formal opinion
Opinions & Preferences,I believe that small acts of kindness can make a huge difference in someone's day.,我相信小小的善意可以讓某人的一天大不相同。,believe that with can for possibility
