Category,English Sentence,Traditional Chinese Translation,Grammar / Usage Note
Conditionals,"If I had known about the traffic, I would have taken a different route.",如果我事先知道交通狀況，我就會走另一條路線了。,third conditional for past regret
Conditionals,She would have got the job if she had been better prepared for the interview.,如果她在面試前準備得更充分，她就會得到那份工作了。,third conditional for past missed opportunity
Conditionals,He would have been on time if his alarm had gone off as planned.,如果他的鬧鐘按計劃響了，他就能準時到了。,third conditional for past blame
Conditionals,"If they had communicated better, the misunderstanding could have been avoided.",如果他們溝通得更好，這次誤解本可以避免的。,third conditional with could have been
Conditionals,"Provided that the weather is good, we will hold the event outdoors as planned.",只要天氣好，我們就按計劃在戶外舉辦活動。,provided that for formal condition
Conditionals,"As long as you keep practising every day, your English will improve steadily.",只要你每天持續練習，你的英文就會穩步提高。,as long as for ongoing condition with result
Conditionals,"Unless she changes her approach, she is unlikely to see any improvement.",除非她改變方式，否則她不太可能看到任何改進。,unless for negative condition
Conditionals,"Even if it rains, the outdoor event will go ahead as scheduled.",即使下雨，戶外活動也將按計劃進行。,even if for determined outcome regardless
Conditionals,"Suppose you were offered a job abroad, would you take it?",假設你被提供了一份海外工作，你會接受嗎？,suppose + past simple for hypothetical question
Conditionals,"Whether or not you agree with the decision, you are expected to follow the policy.",無論你是否同意這個決定，你都應該遵守政策。,whether or not for inclusive condition
Conditionals,"Should you need any further assistance, please do not hesitate to contact us.",如果您需要進一步的協助，請隨時與我們聯繫。,inverted conditional should + infinitive for formal
Formal & Written English,I am writing to enquire about the availability of the position advertised on your website.,我寫信是為了詢問貴公司網站上刊登職位的空缺情況。,formal letter opening for enquiry
Formal & Written English,Please find attached the documents you requested at our meeting last Thursday.,請查收我上週四會議中您所要求的文件附件。,please find attached for email attachment
Formal & Written English,I would be grateful if you could confirm receipt of this email at your earliest convenience.,如果您能在方便的時候確認收到此電子郵件，我將不勝感激。,I would be grateful if + could for polite request
Formal & Written English,"Further to our conversation yesterday, I wanted to follow up on the points we discussed.",繼昨天我們的對話之後，我想跟進我們討論的幾點。,Further to + previous interaction for email follow-up
Formal & Written English,We regret to inform you that your application has not been successful on this occasion.,我們遺憾地通知您，您這次的申請未能成功。,We regret to inform for formal rejection
Formal & Written English,I would like to take this opportunity to express my sincere gratitude for your support.,我想藉此機會表達我對您支持的誠摯感謝。,I would like to take this opportunity to for formal thanks
Formal & Written English,"Should you have any questions or concerns, please do not hesitate to get in touch.",如果您有任何問題或疑慮，請隨時與我們聯繫。,should + not hesitate to for formal closing
Formal & Written English,The purpose of this report is to outline the key findings of our recent survey.,本報告的目的是概述我們最近調查的主要發現。,The purpose of this + to + infinitive for formal intro
Formal & Written English,I am pleased to confirm that the arrangements have been finalised as discussed.,我很高興確認安排已按討論內容確定。,I am pleased to confirm for formal positive update
Formal & Written English,We would appreciate it if you could provide us with your feedback by the end of the week.,如果您能在本週結束前向我們提供反饋，我們將不勝感激。,We would appreciate it if + could for formal request
Formal & Written English,"In light of the recent developments, we have decided to postpone the launch until further notice.",鑑於近期的發展，我們決定將發布推遲到另行通知。,In light of + we have decided to for formal announcement
Formal & Written English,I look forward to hearing from you and hope we can arrange a meeting at your convenience.,我期待您的回覆，並希望能在您方便的時候安排一次會議。,I look forward to + gerund for formal closing
Formal & Written English,The report highlights several areas for improvement and recommends a number of key actions.,報告強調了幾個需要改進的領域，並建議了一些關鍵行動。,highlights + and recommends for formal report language
Formal & Written English,We hereby confirm the details of your order as outlined in the attached invoice.,我們在此確認您的訂單詳情，如附件發票所示。,hereby + as outlined in for legal/formal confirmation
Formal & Written English,It has come to our attention that there may be an error in the information previously provided.,我們注意到之前提供的資訊可能有誤。,It has come to our attention that for formal problem statement
Modal Verbs,You should see a doctor if the pain doesn't improve within a few days.,如果幾天後疼痛沒有改善，你應該去看醫生。,should for advice + if clause
Modal Verbs,She must have worked very hard to achieve such impressive results.,她一定非常努力地工作才能取得如此令人印象深刻的成果。,must have + past participle for past deduction
Modal Verbs,He might be late because his meeting has been running longer than expected.,他可能會遲到，因為他的會議比預期的時間長。,might for possibility with reason clause
Modal Verbs,You must not share confidential information with anyone outside of the company.,你絕對不能與公司以外的任何人分享機密資訊。,must not for prohibition
Modal Verbs,"She could have taken a different approach, but she chose to stick with the original plan.",她本可以採取不同的方法，但她選擇堅持原來的計劃。,could have + but chose to for past alternative
Modal Verbs,"He can speak four languages fluently, which is a huge advantage in his line of work.",他能流利地說四種語言，這在他的工作領域是一個巨大的優勢。,can for ability + which clause
Modal Verbs,I should have replied to that email sooner; I hope it didn't cause any inconvenience.,我應該早點回覆那封電子郵件；我希望這沒有造成任何不便。,should have for regret + I hope clause
Modal Verbs,We may need to revise the timeline if the initial estimates turn out to be inaccurate.,如果最初的估計不準確，我們可能需要修改時間表。,may need to + if clause for contingency
Modal Verbs,She had to reschedule her appointment three times before she could finally see the specialist.,她不得不三次重新安排預約，才能最終見到專科醫生。,had to + before finally for frustration and persistence
Modal Verbs,You don't have to attend every meeting if you feel your time is better spent elsewhere.,如果你覺得你的時間用在其他地方更有價值，你不必參加每次會議。,don't have to for absence of obligation
Modal Verbs,He would rather wait for the right opportunity than take a job that doesn't suit him.,他寧願等待合適的機會，也不願接受一份不適合他的工作。,would rather than for preference
Modal Verbs,She must be feeling exhausted after working twelve-hour days for the past two weeks.,在過去兩週每天工作十二小時後，她一定感到筋疲力盡了。,must be + gerund for present deduction
Modal Verbs,I could not have completed the project without the support of my colleagues.,沒有同事的支持，我不可能完成這個專案。,could not have + without phrase for gratitude
Modal Verbs,They ought to inform their customers before making any significant changes to the service.,他們應該在對服務進行任何重大更改之前通知客戶。,ought to for moral obligation
Modal Verbs,You might want to double-check the figures before presenting them to the board.,在向董事會展示數字之前，你可能應該再次確認。,might want to for gentle suggestion
Academic & Analytical,This study aims to examine the relationship between sleep quality and academic performance.,本研究旨在探討睡眠質量與學業表現之間的關係。,This study aims to for academic purpose statement
Academic & Analytical,The data suggests that there is a strong correlation between exercise and mental wellbeing.,數據表明，運動與心理健康之間存在強烈的相關性。,The data suggests that for analytical claim
Academic & Analytical,"While some researchers argue that technology improves productivity, others contend that it creates more distractions.",雖然一些研究人員認為技術提高了生產力，但另一些人則主張它造成了更多的干擾。,While... others for presenting opposing views
Academic & Analytical,It can be argued that the benefits of remote work outweigh the drawbacks for most employees.,可以說，對於大多數員工來說，遠距工作的好處大於缺點。,It can be argued that for hedged claim
Academic & Analytical,The evidence clearly indicates that early intervention leads to significantly better outcomes.,證據清楚地表明，早期干預可以帶來顯著更好的結果。,The evidence indicates that for strong analytical statement
Academic & Analytical,This essay will explore the key factors that contribute to the success of small businesses.,本文將探討有助於小型企業成功的關鍵因素。,This essay will explore for academic essay intro
Academic & Analytical,"In contrast to previous studies, this research adopts a qualitative approach to the topic.",與以前的研究不同，本研究對這一主題採用了質性研究方法。,In contrast to for academic comparison
Academic & Analytical,The findings of this research have significant implications for both policy and practice.,本研究的發現對政策和實踐都有重要意義。,have implications for academic impact statement
Academic & Analytical,"To a large extent, the outcome was determined by factors outside of the participants' control.",在很大程度上，結果是由參與者無法控制的因素決定的。,To a large extent for hedged attribution
Academic & Analytical,It is widely acknowledged that climate change poses one of the greatest threats to global stability.,人們普遍認為，氣候變遷是對全球穩定的最大威脅之一。,It is widely acknowledged that for established consensus
Academic & Analytical,Further research is needed in order to draw more definitive conclusions on this matter.,需要進一步研究才能對這一問題得出更明確的結論。,Further research is needed for academic call to action
Academic & Analytical,"The results were consistent with the initial hypothesis, thereby supporting the theoretical framework.",結果與最初的假設一致，從而支持了理論框架。,consistent with + thereby supporting for analytical conclusion
Academic & Analytical,"Despite the limitations of the study, the conclusions remain relevant and worthy of consideration.",儘管研究存在局限性，但結論仍然具有相關性和值得考慮的意義。,Despite the limitations for balanced academic writing
Academic & Analytical,One possible explanation for this phenomenon is that participants were influenced by social expectations.,這一現象的一種可能解釋是參與者受到社會期望的影響。,One possible explanation for hedged interpretation
Academic & Analytical,This analysis reveals that the most significant variable was not the one originally anticipated.,這項分析揭示了最重要的變數並不是最初預期的那個。,This analysis reveals that for strong finding statement
