Category,English Phrase,Traditional Chinese,Usage Note,Difficulty
Education & Studying,I'd like to request an extension.,我想申請延期。,formally requesting more time for an assignment,intermediate
Education & Studying,Can I ask a question?,我可以問一個問題嗎？,asking permission to ask a question,intermediate
Education & Studying,How do I reference this?,我怎麼引用這個？,asking how to cite a source,intermediate
Education & Studying,What does this question mean?,這個問題是什麼意思？,asking for clarification on a question,intermediate
Education & Studying,Can I work with a partner?,我可以和同伴一起完成嗎？,asking to work collaboratively,intermediate
Education & Studying,I'm struggling with this topic.,我在這個主題上遇到了困難。,admitting difficulty with a subject,intermediate
Education & Studying,Can you recommend any resources?,你可以推薦任何資源嗎？,asking for study materials,intermediate
Education & Studying,Where can I find more information?,我在哪裡可以找到更多資訊？,asking for sources,intermediate
Education & Studying,I need to revise for my exam.,我需要為考試複習。,saying you need to study,intermediate
Education & Studying,I have an exam next week.,我下週有考試。,telling someone about an upcoming exam,intermediate
Education & Studying,I passed my exam!,我通過考試了！,sharing good news about an exam result,intermediate
Education & Studying,I failed my exam.,我考試不及格。,sharing bad news about an exam result,intermediate
Education & Studying,Can I retake the exam?,我可以重考嗎？,asking about resitting an exam,intermediate
Education & Studying,I'm writing a paper on...,我正在寫一篇關於⋯的論文。,saying what your paper is about,intermediate
Education & Studying,My thesis is about...,我的論文是關於⋯的。,describing the topic of a thesis,intermediate
Education & Studying,I'm doing research on...,我正在研究⋯,saying what you are researching,intermediate
Education & Studying,Can I see your notes?,我可以看你的筆記嗎？,asking to borrow someone's notes,intermediate
Education & Studying,Let's form a study group.,我們來組一個讀書小組吧。,suggesting studying together,intermediate
Education & Studying,The lecture starts at...,講座在⋯開始。,stating when a class begins,intermediate
Education & Studying,Class is cancelled today.,今天的課取消了。,informing that a class won't happen,intermediate
Education & Studying,The professor gave a lot of homework.,教授出了很多作業。,commenting on a heavy workload,intermediate
Education & Studying,I need to go to the library.,我需要去圖書館。,saying you're going to study,intermediate
Education & Studying,Can I borrow your textbook?,我可以借你的教科書嗎？,asking to borrow a textbook,intermediate
Education & Studying,I'm applying to university.,我在申請大學。,saying you are applying to a university,intermediate
Time & Scheduling,What time is it?,現在幾點？,asking for the current time,easy
Time & Scheduling,It's half past three.,現在三點半。,telling the time,intermediate
Time & Scheduling,It's quarter to five.,現在差一刻五點。,telling the time using quarter to,intermediate
Time & Scheduling,It's about midday.,現在大約中午。,giving an approximate time,intermediate
Time & Scheduling,I'm running late.,我要遲到了。,saying you will be late,intermediate
Time & Scheduling,I'll be there in ten minutes.,我十分鐘後到。,estimating your arrival time,intermediate
Time & Scheduling,Sorry I'm late.,抱歉我遲到了。,apologising for being late,intermediate
Time & Scheduling,I'm on my way.,我在路上了。,saying you are coming,intermediate
Time & Scheduling,I'll be right there.,我馬上到。,saying you will arrive very soon,intermediate
Time & Scheduling,Can we push it back by an hour?,我們可以延後一個小時嗎？,asking to delay a scheduled time,intermediate
Time & Scheduling,Can we move it forward?,我們可以提前嗎？,asking to make something earlier,intermediate
Time & Scheduling,That time doesn't work for me.,那個時間對我不方便。,saying a time is unsuitable,intermediate
Time & Scheduling,I'm free anytime after two.,我兩點之後隨時都有空。,saying when you are available,intermediate
Time & Scheduling,I'm busy all morning.,我整個早上都很忙。,saying you are not available in the morning,intermediate
Time & Scheduling,Shall we say three o'clock?,我們說三點好嗎？,proposing a meeting time,intermediate
Time & Scheduling,Let's aim for...,我們以⋯為目標吧。,setting a target time,intermediate
Time & Scheduling,I'll need about an hour.,我大概需要一個小時。,estimating the time required for something,intermediate
Time & Scheduling,It won't take long.,不會花很長時間。,reassuring someone a task is quick,intermediate
Time & Scheduling,This might take a while.,這可能需要一段時間。,warning someone a task will take time,intermediate
Time & Scheduling,I lost track of time.,我忘記時間了。,saying you weren't paying attention to the time,intermediate
Time & Scheduling,Time is running out.,時間快到了。,saying there isn't much time left,intermediate
Time & Scheduling,We're ahead of schedule.,我們比預期提早完成。,saying you are progressing faster than planned,intermediate
Time & Scheduling,We're running behind.,我們落後了。,saying progress is slower than expected,intermediate
Time & Scheduling,Can you give me a rough timeline?,你可以給我一個大概的時間表嗎？,asking for an estimated schedule,intermediate
Time & Scheduling,How long will this take?,這需要多長時間？,asking how long something will take,intermediate
Time & Scheduling,I need this done by...,我需要在⋯之前完成這個。,setting a deadline for someone,intermediate
Time & Scheduling,Take your time.,慢慢來。,telling someone not to rush,intermediate
Time & Scheduling,There's no rush.,不用著急。,saying something doesn't need to be done urgently,intermediate
Time & Scheduling,"As soon as possible, please.",請盡快。,asking for something to be done quickly,intermediate
Time & Scheduling,Can you get back to me by...?,你可以在⋯之前回覆我嗎？,asking someone to respond by a certain time,intermediate
Daily Routines,I wake up at... every day.,我每天⋯點起床。,describing your wake-up time,intermediate
Daily Routines,I usually have... for breakfast.,我早餐通常吃⋯,describing your breakfast habit,intermediate
Daily Routines,I commute to work by...,我搭⋯通勤上班。,describing how you get to work,intermediate
Daily Routines,I start work at...,我⋯點開始工作。,stating your work start time,intermediate
Daily Routines,I finish work at...,我⋯點下班。,stating your work end time,intermediate
Daily Routines,I usually have lunch at my desk.,我通常在辦公桌前吃午餐。,describing a lunch habit,intermediate
Daily Routines,I go to the gym after work.,我下班後去健身房。,describing an after-work routine,intermediate
Daily Routines,I cook dinner most nights.,我大多數晚上都自己做晚飯。,describing an evening routine,intermediate
Daily Routines,I usually go to bed around...,我通常大約⋯點上床睡覺。,describing a bedtime habit,intermediate
Daily Routines,I try to read before bed.,我睡前會嘗試閱讀。,describing a bedtime habit,intermediate
Daily Routines,I walk my dog every morning.,我每天早上遛狗。,describing a morning routine,intermediate
Daily Routines,I spend the weekends relaxing.,我週末都在放鬆。,describing weekend habits,intermediate
Daily Routines,I grocery shop once a week.,我一週購物一次。,describing a shopping habit,intermediate
Daily Routines,I call my parents every Sunday.,我每週日都會打電話給父母。,describing a family routine,intermediate
Daily Routines,I take a lunch break at noon.,我中午休息吃午飯。,describing a lunch routine,intermediate
Daily Routines,I check my emails first thing in the morning.,我一早起來就先查電子郵件。,describing a morning work habit,intermediate
Daily Routines,I work out three times a week.,我一週運動三次。,describing an exercise habit,intermediate
Daily Routines,I meditate for ten minutes every morning.,我每天早上冥想十分鐘。,describing a mindfulness habit,intermediate
Daily Routines,I take the stairs instead of the lift.,我走樓梯而不搭電梯。,describing a healthy habit,intermediate
Daily Routines,I meal prep on Sundays.,我週日備餐。,describing a weekly food preparation habit,intermediate
Daily Routines,I try to drink eight glasses of water a day.,我嘗試每天喝八杯水。,describing a health habit,intermediate
Daily Routines,I wind down with some TV in the evening.,我晚上看電視放鬆一下。,describing an evening relaxation habit,intermediate
Daily Routines,I pack my bag the night before.,我前一天晚上就把包包打包好。,describing a preparation habit,intermediate
Daily Routines,I set multiple alarms to make sure I wake up.,我設定多個鬧鐘確保自己起床。,describing a morning habit,intermediate
Daily Routines,I write a to-do list at the start of each day.,我每天開始時都會列一份待辦清單。,describing a productivity habit,intermediate
Online & Services,I'd like to make a complaint.,我想投訴。,stating you want to complain,intermediate
Online & Services,I'd like to speak to the manager.,我想和經理說話。,requesting to speak with a manager,intermediate
Online & Services,I've been waiting for a long time.,我已經等了很長時間了。,complaining about a long wait,intermediate
Online & Services,This is not what I ordered.,這不是我訂的東西。,saying you received the wrong item,intermediate
Online & Services,My order hasn't arrived yet.,我的訂單還沒到。,reporting a missing delivery,intermediate
Online & Services,Can I track my order?,我可以追蹤我的訂單嗎？,asking how to check delivery status,intermediate
Online & Services,I'd like to cancel my order.,我想取消我的訂單。,requesting to cancel a purchase,intermediate
Online & Services,I'd like a refund.,我想退款。,requesting money back,intermediate
Online & Services,The item is damaged.,這個商品壞了。,reporting a damaged item,intermediate
Online & Services,This is not as described.,這和描述的不一樣。,saying an item doesn't match its description,intermediate
Online & Services,Can I speak to customer service?,我可以和客服說話嗎？,requesting customer service,intermediate
Online & Services,I have a problem with my account.,我的帳戶有問題。,reporting an account issue,intermediate
Online & Services,I forgot my password.,我忘記我的密碼了。,reporting a forgotten password,intermediate
Online & Services,Can you reset my password?,你可以幫我重設密碼嗎？,asking for a password reset,intermediate
Online & Services,How do I unsubscribe?,我如何取消訂閱？,asking how to cancel a subscription,intermediate
Online & Services,I was charged incorrectly.,我被錯誤地收費了。,reporting an incorrect charge,intermediate
Online & Services,Can I upgrade my plan?,我可以升級我的方案嗎？,asking to move to a higher service tier,intermediate
Online & Services,Can I downgrade my plan?,我可以降級我的方案嗎？,asking to move to a lower service tier,intermediate
Online & Services,Is there a free trial?,有免費試用嗎？,asking about a trial period,intermediate
Online & Services,How do I delete my account?,我如何刪除我的帳戶？,asking how to close an account,intermediate
Socialising,Do you want to grab a coffee?,你想去喝杯咖啡嗎？,suggesting a casual coffee meeting,intermediate
Socialising,Let's go out for dinner.,我們出去吃晚飯吧。,suggesting a dinner outing,intermediate
Socialising,Would you like to come over?,你想來我家嗎？,inviting someone to your home,intermediate
Socialising,We're having a get-together on...,我們在⋯有一個聚會。,informing someone of a social gathering,intermediate
Socialising,Can you make it?,你能來嗎？,asking if someone can attend,intermediate
Socialising,The more the merrier!,人越多越好！,encouraging more people to join,intermediate
Socialising,It'll be a lot of fun.,會很有趣的。,encouraging someone to join a social event,intermediate
Socialising,I'm so glad you came!,我很高興你來了！,welcoming a guest,intermediate
Socialising,I had a great time!,我玩得很開心！,expressing enjoyment after a social event,intermediate
Socialising,We should do this more often.,我們應該更常這樣做。,saying you enjoyed spending time together,intermediate
Socialising,Thanks for the invitation.,謝謝你的邀請。,thanking someone for inviting you,intermediate
Socialising,I'm sorry I can't make it.,很抱歉我沒辦法去。,declining an invitation,intermediate
Socialising,I have a prior commitment.,我有先前的承諾。,explaining you are already booked,intermediate
Socialising,Maybe next time!,也許下次吧！,softening a refusal of an invitation,intermediate
Socialising,Let me check my schedule.,讓我查一下我的行程。,saying you need to confirm your availability,intermediate
Socialising,Who else is coming?,還有誰會來？,asking about other guests,intermediate
Socialising,What should I bring?,我應該帶什麼？,asking what to contribute to a gathering,intermediate
Socialising,Shall I bring anything?,我需要帶什麼嗎？,offering to bring something,intermediate
Socialising,It was lovely to meet your friends.,認識你的朋友真的很好。,commenting positively after a social event,intermediate
Socialising,You have such a nice group of friends.,你有一群很好的朋友。,complimenting someone's social circle,intermediate
Socialising,We should catch up more often.,我們應該更常聯絡。,suggesting to meet more regularly,intermediate
Socialising,I've missed you!,我想你了！,expressing that you've missed someone,intermediate
Socialising,It's been too long!,真的太久了！,saying it's been a long time since you met,intermediate
Socialising,We need to plan something soon.,我們需要盡快計劃些什麼。,suggesting to organise an outing,intermediate
Socialising,Let's stay in touch.,讓我們保持聯絡。,asking to maintain contact,intermediate
Relationships & Family,How is your family?,你的家人好嗎？,asking about someone's family,intermediate
Relationships & Family,Give my regards to your family.,代我向你的家人問好。,asking someone to pass on your greetings,intermediate
Relationships & Family,How are the kids?,孩子們好嗎？,asking about someone's children,intermediate
Relationships & Family,How long have you been together?,你們在一起多久了？,asking about a romantic relationship,intermediate
Relationships & Family,We've been together for...,我們在一起⋯了。,saying how long a relationship has lasted,intermediate
Relationships & Family,We just got engaged!,我們剛訂婚！,sharing engagement news,intermediate
Relationships & Family,We're getting married in...,我們將在⋯結婚。,sharing wedding plans,intermediate
Relationships & Family,We're expecting a baby!,我們要有寶寶了！,sharing pregnancy news,intermediate
Relationships & Family,We're moving in together.,我們要同居了。,sharing news about moving in with a partner,intermediate
Relationships & Family,We broke up.,我們分手了。,saying a relationship has ended,intermediate
Relationships & Family,We're going through a rough patch.,我們正在經歷一段困難時期。,saying a relationship is facing challenges,intermediate
Relationships & Family,I'm very close with my family.,我和家人非常親近。,describing a close family relationship,intermediate
Relationships & Family,We don't see each other very often.,我們不常見面。,describing an infrequent relationship,intermediate
Relationships & Family,My parents are very supportive.,我的父母非常支持我。,describing supportive parents,intermediate
Relationships & Family,We have a great relationship.,我們的關係很好。,describing a positive relationship,intermediate
Relationships & Family,I really look up to my...,我非常敬佩我的⋯,saying you admire a family member,intermediate
Relationships & Family,We're very different but get along well.,我們很不一樣但相處得很好。,describing a harmonious relationship despite differences,intermediate
Relationships & Family,She is like a sister to me.,她對我來說就像姐妹一樣。,describing a very close friendship,intermediate
Relationships & Family,He's my best friend.,他是我最好的朋友。,describing a close friend,intermediate
Relationships & Family,We've been friends for years.,我們已經是多年的朋友了。,describing a long friendship,intermediate
Health & Wellbeing,How are you feeling?,你感覺怎麼樣？,asking about someone's health or mood,intermediate
Health & Wellbeing,You don't look well.,你看起來不太好。,expressing concern about someone's appearance,intermediate
Health & Wellbeing,Are you okay?,你還好嗎？,checking if someone is alright,intermediate
Health & Wellbeing,You should see a doctor.,你應該去看醫生。,advising someone to seek medical help,intermediate
Health & Wellbeing,Make sure you get enough rest.,確保你有足夠的休息。,advising someone to rest,intermediate
Health & Wellbeing,Have you been sleeping okay?,你睡得好嗎？,asking about someone's sleep,intermediate
Health & Wellbeing,I've been feeling under the weather.,我最近感覺有點不舒服。,saying you haven't been well,intermediate
Health & Wellbeing,I've been a bit run down lately.,我最近有點精疲力竭。,saying you've felt tired and unwell,intermediate
Health & Wellbeing,I need to take better care of myself.,我需要更好地照顧自己。,saying you intend to improve self-care,intermediate
Health & Wellbeing,I've been trying to eat more healthily.,我一直在嘗試吃得更健康。,describing a change in diet,intermediate
Health & Wellbeing,I've started going to the gym.,我開始去健身房了。,sharing a new exercise habit,intermediate
Health & Wellbeing,I've been really stressed lately.,我最近壓力真的很大。,expressing high stress levels,intermediate
Health & Wellbeing,I need a break.,我需要休息一下。,saying you need time to recharge,intermediate
Health & Wellbeing,I've been burning the candle at both ends.,我一直在過度消耗自己。,saying you've been working too hard,intermediate
Health & Wellbeing,You need to slow down.,你需要放慢腳步。,advising someone not to overwork,intermediate
Health & Wellbeing,Take it easy.,放輕鬆。,advising someone to relax,intermediate
Health & Wellbeing,I feel so much better now.,我現在感覺好多了。,saying your health or mood has improved,intermediate
Health & Wellbeing,I'm back on my feet.,我恢復過來了。,saying you have recovered,intermediate
Health & Wellbeing,I've been taking good care of myself.,我一直有好好照顧自己。,saying you've been looking after yourself,intermediate
Health & Wellbeing,I think I'm coming down with something.,我想我快生病了。,saying you feel like you're getting sick,intermediate
Technology & Media,Have you seen...?,你有看過⋯嗎？,asking if someone has watched something,intermediate
Technology & Media,I'm watching... at the moment.,我最近在看⋯,saying what you're currently watching,intermediate
Technology & Media,You should watch...,你應該看⋯,recommending something to watch,intermediate
Technology & Media,It's worth watching.,值得一看。,saying something is worth your time,intermediate
Technology & Media,I binge-watched the whole season.,我一口氣看完了整季。,saying you watched many episodes in a row,intermediate
Technology & Media,Have you heard the new album by...?,你有聽過⋯的新專輯嗎？,asking about a new music release,intermediate
Technology & Media,I've been listening to... a lot lately.,我最近一直在聽⋯,describing recent listening habits,intermediate
Technology & Media,What kind of music are you into?,你喜歡什麼類型的音樂？,asking about music preferences,intermediate
Technology & Media,I'm addicted to this podcast.,我最近迷上了這個播客。,saying you love a podcast,intermediate
Technology & Media,Have you read...?,你有讀過⋯嗎？,asking if someone has read a book,intermediate
Technology & Media,I couldn't put it down.,我根本停不下來看。,saying a book was unputdownable,intermediate
Technology & Media,What are you reading at the moment?,你現在在看什麼書？,asking about current reading,intermediate
Technology & Media,I've been spending too much time online.,我花太多時間在網路上了。,admitting excessive internet use,intermediate
Technology & Media,My phone battery is dying.,我的手機快沒電了。,saying your phone is low on battery,intermediate
Technology & Media,Do you have a charger I can borrow?,你有充電器可以借我嗎？,asking to borrow a charger,intermediate
Technology & Media,The internet is down.,網路斷了。,reporting an internet outage,intermediate
Technology & Media,Can you recommend a good app for...?,你可以推薦一個好的⋯應用程式嗎？,asking for an app recommendation,intermediate
Technology & Media,I can't figure out how to use this.,我搞不清楚怎麼使用這個。,saying you're struggling with technology,intermediate
Technology & Media,Have you tried turning it off and on again?,你有試過關掉再重新開機嗎？,common tech troubleshooting advice,intermediate
Technology & Media,I need to update my software.,我需要更新我的軟體。,saying your software needs updating,intermediate
Food Preferences & Cooking,What's your favourite food?,你最喜歡的食物是什麼？,asking about food preferences,intermediate
Food Preferences & Cooking,I love...,我喜歡⋯,expressing a food preference,intermediate
Food Preferences & Cooking,I can't stand...,我受不了⋯,saying you dislike a food strongly,intermediate
Food Preferences & Cooking,I'm not a big fan of...,我不太喜歡⋯,saying you mildly dislike something,intermediate
Food Preferences & Cooking,I could eat... every day.,我可以每天吃⋯,expressing strong love for a food,intermediate
Food Preferences & Cooking,Have you ever tried...?,你有試過⋯嗎？,asking if someone has eaten a particular food,intermediate
Food Preferences & Cooking,You should try...,你應該試試⋯,recommending a food,intermediate
Food Preferences & Cooking,It tastes like...,它的味道像⋯,describing a flavour,intermediate
Food Preferences & Cooking,It's a bit too sweet for me.,對我來說有點太甜了。,saying something is too sweet,intermediate
Food Preferences & Cooking,I'm watching what I eat.,我在注意我的飲食。,saying you are being careful about food,intermediate
Food Preferences & Cooking,I'm trying to cut down on...,我在嘗試減少⋯的攝取。,saying you're trying to eat less of something,intermediate
Food Preferences & Cooking,I've gone off...,我不再喜歡⋯了。,saying you've lost taste for something,intermediate
Food Preferences & Cooking,I'm on a diet.,我在節食。,saying you are dieting,intermediate
Food Preferences & Cooking,Do you have any dietary restrictions?,你有任何飲食限制嗎？,asking about food restrictions,intermediate
Food Preferences & Cooking,I'm trying to eat more vegetables.,我在嘗試多吃蔬菜。,describing a healthier eating habit,intermediate
Food Preferences & Cooking,I made this from scratch.,我從頭開始做這個。,saying you made something without pre-made ingredients,intermediate
Food Preferences & Cooking,The secret ingredient is...,秘密食材是⋯,sharing a cooking secret,intermediate
Food Preferences & Cooking,It needs a bit more seasoning.,它需要多一點調味。,saying a dish needs more flavour,intermediate
Food Preferences & Cooking,I overcooked it.,我煮過頭了。,admitting you cooked something too long,intermediate
Food Preferences & Cooking,Do you want the recipe?,你想要這個食譜嗎？,offering to share a recipe,intermediate
Travel & Culture,Have you ever been to...?,你去過⋯嗎？,asking if someone has visited a place,intermediate
Travel & Culture,I've always wanted to go to...,我一直想去⋯,expressing a travel wish,intermediate
Travel & Culture,What was it like?,那裡怎麼樣？,asking about an experience,intermediate
Travel & Culture,I highly recommend it.,我強烈推薦。,giving a strong recommendation,intermediate
Travel & Culture,It was breathtaking.,那真是令人嘆為觀止。,describing something visually stunning,intermediate
Travel & Culture,The food there is incredible.,那裡的食物真的很棒。,praising food from a specific place,intermediate
Travel & Culture,The people were so welcoming.,那裡的人非常熱情好客。,praising the hospitality of locals,intermediate
Travel & Culture,I got totally lost but it was an adventure.,我完全迷路了但這是一次冒險。,describing a positive experience of getting lost,intermediate
Travel & Culture,I'd love to go back someday.,我希望有一天能再回去。,expressing a wish to revisit a place,intermediate
Travel & Culture,It's very different from home.,和家裡很不一樣。,noting cultural differences,intermediate
Travel & Culture,The culture is fascinating.,這裡的文化非常迷人。,expressing interest in local culture,intermediate
Travel & Culture,I tried to learn a few words of the language.,我嘗試學了幾個當地語言的字。,saying you made an effort to speak locally,intermediate
Travel & Culture,It's a must-see.,這是必看的。,strongly recommending something,intermediate
Travel & Culture,I travelled on a budget.,我是低預算旅行。,saying you travelled cheaply,intermediate
Travel & Culture,I went backpacking.,我去背包旅行了。,saying you went on a backpacking trip,intermediate
Travel & Culture,I prefer travelling off the beaten track.,我喜歡走不尋常的路線旅行。,saying you prefer less touristy destinations,intermediate
Travel & Culture,What's the best time to visit?,什麼時候去最好？,asking about the best travel season,intermediate
Travel & Culture,Is it safe to travel there?,去那裡旅行安全嗎？,asking about travel safety,intermediate
Travel & Culture,I'm planning a trip to...,我在計劃一趟去⋯的旅行。,saying you are planning travel,intermediate
Travel & Culture,Do I need a visa for...?,去⋯需要簽證嗎？,asking about visa requirements,intermediate
Environment & Social Topics,I try to reduce my plastic use.,我嘗試減少塑膠使用。,describing an eco-friendly habit,intermediate
Environment & Social Topics,I always bring a reusable bag.,我總是帶可重複使用的袋子。,describing a sustainable habit,intermediate
Environment & Social Topics,I recycle as much as I can.,我盡可能地回收。,describing a recycling habit,intermediate
Environment & Social Topics,Climate change is a serious issue.,氣候變遷是一個嚴重的問題。,commenting on climate change,intermediate
Environment & Social Topics,We all have a responsibility to protect the environment.,我們都有責任保護環境。,expressing environmental responsibility,intermediate
Environment & Social Topics,I'm trying to reduce my carbon footprint.,我在嘗試減少我的碳足跡。,describing efforts to live more sustainably,intermediate
Environment & Social Topics,I've started composting.,我開始堆肥了。,sharing a sustainable practice,intermediate
Environment & Social Topics,I try to buy local produce.,我嘗試購買當地農產品。,describing a sustainable shopping habit,intermediate
Environment & Social Topics,Public transport is better for the environment.,大眾交通工具對環境更好。,making an environmental argument,intermediate
Environment & Social Topics,Renewable energy is the future.,再生能源是未來。,expressing a view on energy,intermediate
Environment & Social Topics,It's important to conserve water.,節約用水很重要。,stating the importance of water conservation,intermediate
Environment & Social Topics,I donate to environmental charities.,我捐款給環保慈善機構。,describing a charitable habit,intermediate
Environment & Social Topics,I think education is the key.,我認為教育是關鍵。,sharing a view on solving social issues,intermediate
Environment & Social Topics,Everyone should have equal opportunities.,每個人都應該有平等的機會。,expressing a belief in equality,intermediate
Environment & Social Topics,It's important to respect other cultures.,尊重其他文化很重要。,expressing cultural respect,intermediate
Environment & Social Topics,Diversity makes our community stronger.,多元化讓我們的社區更強大。,expressing a view on diversity,intermediate
Environment & Social Topics,I support local businesses.,我支持本地企業。,describing a shopping value,intermediate
Environment & Social Topics,Volunteering is very rewarding.,志願服務非常有意義。,saying volunteering is fulfilling,intermediate
Environment & Social Topics,We should look after the elderly.,我們應該照顧老年人。,expressing care for the elderly,intermediate
Environment & Social Topics,Small actions can make a big difference.,小小的行動可以產生很大的影響。,encouraging positive action,intermediate
